CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
29	45	34	4	5	3	6	5	4	
34	55	33	4	4	2	6	4	4	
35	46	33	3	4	2	5	6	5	
31	38	36	4	5	3	5	5	5	
34	47	37	3	4	2	5	7	6	
32	38	36	4	4	3	5	6	5	
25	39	35	5	5	3	6	4	4	
31	49	33	4	5	3	6	5	5	
25	38	37	4	5	3	6	5	3	
31	41	35	5	5	3	6	5	5	
36	51	33	4	4	2	5	5	4	
32	43	32	4	5	3	6	5	5	
32	45	35	4	4	3	5	5	5	
32	47	34	4	5	3	6	4	4	
34	47	34	4	4	3	5	6	5	
37	55	32	4	4	2	5	5	5	
32	41	34	4	4	3	5	6	5	
37	49	32	4	4	2	5	6	6	
32	55	35	3	3	2	5	6	5	
34	44	35	4	4	3	5	5	5	
29	46	36	5	5	3	7	3	3	
33	48	35	4	5	3	6	5	5	
31	40	36	5	5	3	6	4	4	
31	41	34	4	4	3	5	5	4	
40	46	32	3	3	2	4	5	5	
34	47	34	3	3	2	4	6	6	
31	56	34	4	5	2	6	4	4	
32	40	36	4	5	3	6	5	4	
34	45	37	3	4	2	5	6	6	
29	45	36	4	5	3	6	5	4	
29	41	33	4	4	3	5	6	6	
38	52	32	3	4	2	5	5	5	
35	45	34	4	4	2	5	5	4	
32	43	35	3	4	2	5	6	5	
32	40	35	3	4	3	4	7	7	
26	53	36	5	6	4	8	4	4	
31	39	35	4	4	3	5	4	4	
27	45	37	5	5	4	6	4	4	
32	47	35	4	5	3	6	6	4	
33	46	35	4	4	3	5	6	5	
28	40	38	4	5	3	6	5	4	
27	42	36	5	5	4	6	4	4	
33	57	34	4	4	2	5	5	5	
27	43	34	4	4	3	5	5	4	
33	44	35	4	4	3	5	5	4	
25	55	34	6	5	3	7	4	3	
25	36	37	5	6	4	7	4	3	
30	52	35	4	4	3	6	5	4	
34	49	35	4	4	3	6	5	4	
30	50	34	4	4	3	5	4	4	
35	40	32	4	4	2	5	5	4	
31	46	35	5	5	3	6	4	4	
34	56	34	4	4	3	6	5	5	
30	51	33	4	4	3	6	5	5	
35	50	31	3	3	2	4	7	7	
27	53	34	5	5	3	6	5	4	
32	50	36	4	4	3	6	5	4	
26	46	36	4	4	3	6	5	4	
36	48	34	4	4	3	5	5	5	
38	45	31	4	4	3	5	5	4	
35	42	35	4	4	3	5	7	7	
34	50	36	4	4	3	5	5	5	
40	48	32	3	3	2	5	6	6	
31	51	34	4	4	3	6	5	4	
33	46	35	4	4	3	6	5	4	
32	60	33	5	4	3	6	5	5	
29	50	34	4	4	2	5	6	5	
30	50	34	5	5	3	7	4	4	
38	45	34	3	3	2	4	5	5	
30	43	35	4	5	3	6	6	5	
31	50	32	4	4	3	6	6	5	
37	48	34	4	4	2	5	6	6	
31	46	36	4	4	3	6	5	5	
35	46	35	4	4	3	5	5	4	
30	42	32	4	4	3	5	5	4	
31	45	36	4	4	3	5	6	5	
35	60	31	4	3	2	5	6	5	
31	36	36	3	4	3	5	5	4	
30	50	34	5	5	3	7	4	4	
31	45	35	5	5	4	7	4	3	
26	36	38	4	5	3	5	6	5	
39	55	31	4	3	2	5	5	5	
27	41	33	4	4	3	6	6	5	
36	47	32	4	4	3	5	6	5	
27	38	38	5	5	4	6	4	4	
33	46	33	5	4	3	6	5	4	
30	39	36	5	5	4	6	5	5	
39	51	35	3	3	2	5	5	4	
33	42	32	3	4	2	5	6	5	
35	41	32	4	4	3	5	5	5	
35	49	32	4	3	2	5	5	4	
33	48	35	4	4	3	6	6	5	
36	58	30	4	4	2	5	5	4	
31	45	34	4	4	3	5	5	4	
31	49	31	4	4	3	6	6	5	
26	43	34	6	6	4	7	4	3	
32	49	33	4	4	2	5	5	4	
30	50	32	4	4	2	5	5	5	
28	44	33	4	4	3	5	6	4	
28	50	34	4	5	3	6	5	4	
