CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
64	57	32	14	15	9	20	4	3	
66	58	31	14	13	8	19	5	3	
67	57	29	13	13	7	19	5	3	
72	57	31	13	14	8	18	5	3	
80	63	28	12	12	7	17	5	4	
75	58	28	11	12	7	16	5	4	
73	61	27	13	11	7	18	6	3	
64	56	29	12	12	7	17	5	4	
67	63	27	15	12	8	20	4	3	
70	64	28	14	13	8	19	4	3	
72	64	29	12	12	6	17	5	4	
71	55	30	12	13	8	17	5	3	
62	61	30	13	13	8	19	5	3	
70	60	28	13	13	8	19	6	3	
69	60	29	14	13	8	19	5	3	
72	61	28	12	11	7	17	6	4	
71	58	30	13	13	8	18	5	4	
76	58	29	12	12	7	17	5	4	
78	60	28	12	12	7	17	5	4	
66	57	31	14	15	9	21	5	3	
75	62	29	12	12	7	17	5	4	
65	56	31	13	14	8	19	5	3	
70	64	28	12	12	7	17	5	3	
70	63	27	13	12	7	18	6	4	
68	59	30	13	14	8	19	5	3	
66	55	30	13	14	9	19	5	4	
68	63	30	14	14	8	20	5	3	
67	62	30	14	13	8	19	5	3	
72	60	29	13	12	7	17	5	3	
67	57	29	13	12	8	17	5	3	
72	60	29	12	13	7	18	5	4	
77	62	29	12	12	7	17	5	3	
70	60	28	12	12	7	17	5	3	
57	49	31	13	14	9	18	5	3	
68	61	30	13	13	8	18	4	3	
69	61	28	12	11	7	17	5	3	
74	59	29	12	12	8	17	5	4	
65	56	31	14	14	9	19	5	3	
74	63	29	12	12	7	17	5	4	
65	58	30	14	14	9	20	4	3	
70	60	29	13	12	7	17	5	3	
69	61	31	15	14	9	20	4	3	
68	58	30	14	13	8	19	5	3	
71	60	31	14	14	8	19	4	3	
62	60	31	14	14	9	19	5	3	
60	60	30	13	13	8	19	6	3	
82	61	29	11	12	7	17	5	4	
75	60	29	12	12	7	17	4	3	
68	60	29	13	14	8	19	4	3	
73	62	27	12	11	6	17	5	4	
64	51	32	14	15	9	20	4	3	
74	61	29	12	13	7	18	4	3	
78	63	29	12	12	7	18	5	4	
65	53	30	13	13	9	18	5	4	
65	58	31	12	13	8	18	6	4	
60	55	31	14	14	9	20	4	3	
73	60	28	13	12	7	18	5	3	
69	61	29	12	12	7	17	5	4	
61	55	30	13	14	8	18	5	3	
73	59	27	12	11	7	16	5	4	
63	57	31	13	13	8	18	5	3	
72	59	28	13	12	7	17	5	4	
65	57	31	13	13	8	18	4	3	
77	63	28	13	12	7	18	4	3	
68	63	30	12	14	7	18	5	3	
73	59	29	12	12	7	18	4	3	
65	54	29	14	12	8	18	5	3	
85	61	30	13	13	7	19	4	4	
68	61	29	12	12	8	17	5	4	
63	55	30	12	12	8	17	4	3	
66	63	29	13	12	8	18	5	3	
75	62	30	13	13	8	18	5	3	
69	60	29	12	12	7	18	5	4	
73	59	30	13	13	8	18	4	3	
63	55	32	13	15	9	20	5	3	
71	63	29	12	12	7	17	5	4	
58	61	31	14	15	9	20	5	3	
57	60	31	13	14	8	18	6	3	
71	57	29	15	14	8	20	5	3	
66	61	28	13	13	8	18	5	4	
76	60	28	12	12	7	17	5	4	
70	64	29	14	13	8	19	5	3	
73	59	29	13	13	8	18	5	3	
72	61	28	13	13	7	18	4	3	
72	56	30	13	13	8	18	5	3	
72	62	29	12	12	7	17	5	4	
58	56	31	12	13	8	17	5	4	
69	60	29	13	12	8	17	5	4	
75	59	29	14	13	8	18	4	3	
73	59	31	13	14	8	19	4	3	
69	61	31	14	15	9	20	4	3	
74	61	28	12	12	7	17	5	4	
76	60	30	13	13	8	18	5	3	
68	56	30	13	13	8	18	5	4	
70	61	28	14	12	8	18	5	3	
76	62	28	13	12	7	18	5	4	
62	62	29	13	12	8	18	5	4	
72	64	29	13	12	7	18	5	3	
68	58	28	13	12	7	18	6	3	
67	61	29	12	12	7	17	5	4	
