CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
69	60	30	23	23	14	32	4	3	
83	62	29	19	20	11	28	4	3	
67	56	30	18	20	12	26	5	3	
71	60	30	21	21	13	29	4	3	
87	63	28	19	19	11	27	4	3	
76	64	29	18	19	11	26	4	3	
91	61	28	19	19	11	27	4	3	
78	60	31	19	20	12	27	4	3	
84	62	28	19	18	11	26	6	3	
89	62	28	18	19	11	27	4	3	
87	67	29	17	19	10	26	5	3	
86	63	28	19	18	10	27	4	3	
83	62	29	19	20	11	28	4	3	
85	63	27	18	17	10	25	5	3	
87	62	28	18	18	10	26	4	3	
87	63	28	19	19	11	27	4	3	
78	63	28	19	18	11	26	5	3	
85	64	29	20	19	12	28	4	3	
88	61	28	19	18	11	25	4	3	
83	62	29	20	19	11	28	5	3	
72	61	29	20	20	12	27	5	3	
88	59	29	19	20	11	27	4	3	
78	60	30	20	20	12	28	4	3	
77	62	29	21	20	12	28	4	3	
84	64	28	20	18	11	27	5	3	
95	64	26	16	16	9	23	5	4	
86	62	29	19	19	11	27	4	3	
75	59	29	19	19	12	27	4	3	
89	67	28	20	19	11	29	4	3	
79	63	29	18	19	11	26	5	3	
79	63	29	19	18	11	27	4	3	
74	65	29	20	19	11	28	4	3	
86	62	27	20	17	11	26	5	3	
80	62	29	19	19	11	27	5	3	
89	65	28	20	19	11	28	4	3	
89	68	27	19	17	10	27	5	3	
81	59	28	18	18	11	26	5	3	
84	61	29	20	19	12	28	5	3	
82	62	29	19	19	11	27	4	3	
81	62	28	20	18	11	27	5	3	
84	63	30	21	20	12	29	4	3	
83	60	28	21	19	12	28	5	3	
82	65	27	18	17	10	25	5	3	
80	63	28	21	18	11	27	4	3	
78	59	29	19	20	12	27	4	3	
80	61	29	20	19	12	28	5	3	
93	62	29	19	20	11	28	4	3	
89	61	28	20	19	12	27	4	3	
72	60	30	20	21	12	29	4	3	
88	62	29	19	19	11	28	5	3	
72	63	30	20	21	12	29	5	3	
88	65	28	20	18	11	27	4	3	
80	62	29	20	20	12	28	4	3	
86	62	27	19	18	11	26	4	3	
85	61	29	20	19	11	28	4	3	
84	61	28	19	18	11	26	4	3	
79	63	27	19	18	11	26	5	3	
86	63	29	19	20	11	27	4	3	
74	57	30	20	21	13	29	4	3	
86	65	27	18	18	10	26	4	3	
88	59	28	20	20	12	28	4	3	
86	62	29	18	20	11	27	4	3	
75	63	28	22	20	12	30	4	3	
76	59	31	19	21	12	28	5	3	
79	62	29	22	20	12	29	4	3	
76	62	28	20	19	12	28	4	3	
88	62	28	19	18	11	26	5	3	
76	58	31	20	21	12	28	4	3	
83	63	28	20	20	11	29	4	3	
88	62	28	18	19	11	26	5	3	
75	61	30	21	21	12	29	4	3	
82	62	30	18	20	11	27	4	3	
88	60	27	19	17	11	25	5	3	
82	65	28	20	18	11	28	5	3	
83	65	28	20	20	11	28	4	3	
82	62	30	20	22	12	29	4	3	
79	60	29	20	20	12	28	4	3	
79	63	30	20	21	12	29	4	3	
78	60	30	20	21	13	29	4	3	
81	64	28	19	18	11	26	4	3	
89	63	27	19	19	11	27	5	3	
85	65	27	18	16	10	24	5	3	
79	60	29	20	20	12	28	4	3	
80	61	28	18	19	11	26	4	3	
78	63	30	20	20	12	28	5	3	
79	60	29	21	19	12	28	4	3	
79	60	29	21	20	12	29	4	3	
76	64	29	19	20	11	28	4	3	
77	64	28	20	19	12	28	4	3	
84	63	30	19	21	12	28	4	3	
84	60	28	20	19	12	28	4	3	
100	63	27	17	17	10	25	4	3	
86	62	28	19	17	10	26	4	3	
81	63	29	21	22	12	30	4	3	
79	62	30	20	21	12	29	4	3	
87	65	28	19	18	11	27	4	3	
81	66	28	20	18	11	27	5	3	
82	61	29	20	18	12	27	4	3	
77	57	29	20	19	12	27	4	3	
85	63	29	20	19	12	27	4	3	
