CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
79	61	30	17	17	10	24	5	3	
70	60	29	16	17	9	23	4	3	
77	63	29	16	16	9	22	5	3	
79	59	28	15	15	9	21	4	4	
80	57	29	15	15	9	21	5	3	
78	59	28	15	15	9	21	4	3	
73	63	29	17	16	10	24	4	3	
83	63	28	15	14	8	21	5	4	
75	61	29	17	17	10	23	5	3	
83	61	28	16	15	9	22	4	3	
83	62	27	15	15	8	22	5	3	
74	64	29	15	16	9	22	5	3	
83	61	29	17	17	10	24	4	3	
73	60	30	18	18	11	25	4	3	
76	61	28	16	15	9	22	5	3	
81	61	28	16	16	9	23	5	3	
81	64	29	15	15	9	22	5	3	
80	66	27	15	13	8	21	6	3	
66	58	30	19	18	11	26	4	3	
72	65	28	16	16	9	23	4	3	
81	62	29	16	16	10	23	5	3	
77	61	28	17	15	10	23	4	3	
78	61	29	17	16	10	23	4	3	
80	64	27	17	15	9	23	4	3	
76	64	28	16	15	9	22	5	3	
77	62	30	16	17	9	23	4	3	
72	60	29	17	16	10	24	5	3	
70	60	29	16	16	10	22	5	3	
65	64	30	16	17	10	23	5	3	
73	59	30	17	18	11	24	4	3	
74	60	30	16	16	10	23	5	3	
67	59	30	16	17	10	23	5	3	
82	60	28	17	15	10	23	4	3	
73	60	31	17	18	10	25	4	3	
70	60	28	15	16	9	22	5	3	
77	60	28	15	16	9	22	4	4	
88	65	26	15	14	8	21	5	3	
75	60	31	17	16	10	23	4	3	
69	59	30	17	17	10	23	4	3	
79	58	28	15	15	9	21	5	4	
69	60	30	17	17	10	23	4	3	
69	62	29	16	16	9	23	4	3	
87	61	26	15	13	8	20	5	3	
80	63	29	15	16	9	22	4	4	
70	61	30	17	17	11	24	4	3	
80	61	28	16	14	9	21	5	3	
72	60	29	17	16	10	23	5	3	
81	64	28	16	16	9	23	4	3	
83	61	28	17	15	10	23	5	3	
72	61	28	17	16	10	23	5	3	
77	63	29	16	16	9	23	4	3	
76	59	28	15	15	9	21	5	3	
69	61	30	14	15	9	20	7	4	
79	60	28	16	15	9	22	5	3	
75	61	30	16	16	9	22	4	3	
74	62	28	16	14	9	22	5	3	
82	61	30	17	17	10	24	4	3	
75	63	28	15	16	9	22	5	3	
78	62	29	15	16	9	22	5	3	
73	62	29	18	18	11	25	4	3	
68	56	31	17	18	11	23	4	3	
81	61	29	16	16	9	23	4	3	
78	61	30	16	17	10	23	4	3	
73	65	28	17	16	9	23	5	3	
72	60	27	16	15	9	22	5	3	
83	63	28	15	15	8	22	4	3	
69	64	30	15	17	9	23	5	3	
88	69	28	16	15	8	23	4	3	
73	60	29	17	16	10	23	4	3	
73	59	31	17	18	11	23	4	3	
67	60	30	16	16	10	23	4	3	
85	63	27	15	14	9	21	5	4	
80	57	29	15	16	9	22	5	4	
73	63	29	17	17	10	24	5	3	
67	63	31	16	18	10	24	5	3	
74	64	28	18	16	10	25	4	3	
78	60	29	16	16	9	22	5	3	
69	62	30	16	16	10	23	5	3	
80	64	29	16	17	10	24	4	3	
85	62	29	15	15	8	21	5	4	
69	64	28	17	16	10	23	5	3	
76	62	29	15	16	9	23	4	4	
76	62	28	16	15	9	23	4	3	
83	62	26	15	14	8	21	5	3	
76	57	30	18	18	11	25	4	3	
76	63	29	17	17	10	25	4	3	
85	63	28	16	16	9	23	4	3	
81	59	28	15	16	9	22	4	3	
69	61	29	17	16	10	23	5	3	
70	60	29	17	16	10	23	5	3	
69	60	28	18	16	10	23	5	3	
69	61	30	17	17	10	24	4	3	
78	60	30	17	17	10	24	4	3	
71	59	30	19	18	11	25	4	3	
75	63	28	17	16	9	23	4	3	
75	64	29	17	17	9	24	4	3	
65	54	31	16	17	11	22	5	3	
73	62	30	17	16	10	24	5	3	
80	63	28	16	16	9	23	5	3	
81	62	29	16	16	10	23	4	3	
