CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
48	50	33	7	8	5	10	5	4	
53	55	31	7	7	4	9	5	4	
51	51	34	7	8	5	10	4	4	
51	54	31	7	7	4	9	6	5	
44	53	32	7	7	4	9	5	4	
47	56	32	7	7	5	10	5	4	
44	54	32	7	8	5	10	5	4	
51	53	31	7	7	4	9	6	4	
53	55	29	6	6	4	9	5	4	
49	49	28	7	6	4	9	6	4	
45	51	33	8	8	5	10	5	3	
45	52	32	6	7	4	9	5	4	
50	53	34	6	7	4	10	5	4	
44	47	32	6	8	4	9	4	4	
46	48	32	7	7	5	9	6	4	
53	60	31	6	6	4	9	6	5	
48	49	34	6	7	4	8	7	4	
52	63	30	6	7	4	9	6	4	
47	58	33	7	8	4	10	5	4	
54	56	31	6	7	4	9	5	4	
52	52	33	7	7	4	9	5	4	
54	51	32	7	7	4	9	5	4	
52	57	31	7	7	4	9	6	4	
41	50	35	8	8	5	11	4	3	
46	56	32	7	7	5	10	5	4	
48	54	33	7	7	4	10	6	4	
50	49	32	7	7	4	9	5	4	
46	52	32	6	7	4	9	6	5	
53	59	31	7	7	4	10	5	4	
53	51	31	6	5	3	8	7	5	
50	56	31	6	6	4	9	5	4	
58	58	29	7	6	4	9	5	4	
54	52	30	6	6	4	9	6	4	
49	49	32	7	7	5	10	5	4	
52	63	31	6	6	3	9	6	4	
50	50	30	7	7	4	9	6	4	
48	51	32	6	6	4	9	5	4	
44	52	33	7	8	5	10	7	4	
51	55	32	7	8	4	10	5	4	
53	52	31	6	7	4	9	5	4	
49	53	30	6	7	4	9	6	5	
51	46	32	6	6	4	8	6	4	
49	50	32	6	7	4	9	5	4	
51	53	30	7	7	4	9	5	4	
54	55	31	7	7	4	9	5	4	
56	58	31	5	6	3	8	6	4	
44	53	32	7	7	5	10	5	4	
53	56	31	5	6	3	8	7	5	
53	53	31	6	6	4	8	5	4	
50	51	31	7	7	4	9	6	4	
46	52	32	7	7	5	10	5	4	
50	56	32	6	7	4	9	6	4	
45	60	29	8	7	4	10	6	4	
59	56	28	6	5	3	8	6	5	
51	51	32	7	7	4	10	5	4	
50	50	32	8	8	5	10	5	4	
55	54	31	6	6	4	8	5	4	
44	55	33	7	8	5	10	6	4	
49	52	30	7	7	4	9	5	4	
50	56	32	7	6	4	9	6	4	
53	49	32	6	6	4	8	6	4	
51	56	33	7	7	4	9	4	4	
51	47	33	6	7	5	9	5	4	
50	53	31	6	6	4	9	6	5	
52	56	31	7	7	4	10	5	4	
50	50	32	6	7	4	9	6	4	
49	55	33	6	7	4	9	5	4	
49	49	31	7	7	4	9	5	4	
55	57	29	6	6	4	9	5	4	
52	56	31	6	6	4	9	5	4	
50	56	32	7	8	4	10	5	4	
48	46	33	6	7	4	9	5	4	
50	53	31	7	7	4	10	5	4	
48	46	31	7	7	5	9	6	5	
49	54	29	8	7	4	10	5	4	
49	48	33	7	8	5	10	5	3	
46	54	31	7	7	4	10	5	4	
53	51	31	5	6	4	8	7	5	
52	51	33	6	6	4	8	6	4	
46	50	32	7	7	4	10	7	4	
49	63	30	7	7	4	10	5	4	
53	53	31	6	6	4	9	5	4	
54	56	30	6	6	4	9	6	4	
44	48	34	7	7	5	9	4	4	
50	56	30	7	7	4	10	6	4	
51	57	30	7	7	4	10	5	4	
45	53	33	7	7	4	9	5	4	
51	53	31	7	7	4	9	6	4	
46	54	32	6	7	4	9	6	4	
49	53	33	8	8	5	11	4	4	
55	55	29	7	6	4	9	7	4	
46	51	32	8	8	5	11	5	4	
53	53	32	6	7	4	9	6	4	
41	47	33	8	8	5	10	5	4	
49	55	32	6	7	4	10	5	4	
49	53	31	7	7	4	9	5	4	
47	47	33	6	7	4	9	5	4	
50	57	31	7	7	4	9	5	4	
58	56	31	6	6	4	8	5	5	
53	53	30	7	7	4	10	5	4	
