CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
20	8	45	5	6	5	6	3	3	
20	8	45	6	6	6	6	4	4	
23	18	46	6	6	5	6	4	3	
22	13	44	5	6	5	6	5	4	
20	12	46	7	7	6	7	3	3	
22	18	45	6	6	6	7	3	3	
21	15	44	6	6	5	6	4	3	
22	10	45	6	6	5	6	4	3	
16	10	45	6	7	6	7	5	3	
18	9	45	6	6	6	6	4	3	
23	22	45	5	5	5	6	4	3	
22	12	46	7	7	6	7	4	3	
19	16	44	6	6	6	7	5	3	
22	13	44	6	6	5	6	5	3	
22	13	44	6	6	6	7	4	3	
28	16	45	5	5	5	6	4	3	
20	11	44	6	6	5	6	4	3	
19	8	45	6	6	6	6	4	3	
23	18	44	6	6	6	7	5	3	
28	17	44	5	5	4	5	4	4	
22	27	45	5	5	5	6	4	3	
20	22	45	6	6	6	6	4	3	
17	10	44	6	6	6	7	3	3	
22	11	45	5	5	5	6	4	4	
22	9	45	6	6	6	6	4	4	
19	25	45	6	6	6	7	4	3	
22	21	45	6	6	5	6	5	4	
22	13	45	6	6	6	7	4	3	
21	20	44	6	6	6	7	4	3	
22	24	45	5	5	5	6	4	3	
23	7	46	5	5	5	5	4	4	
20	16	46	5	6	5	6	5	4	
23	16	43	6	6	6	6	4	3	
20	16	46	6	6	5	6	4	3	
26	17	44	5	5	5	5	4	4	
18	12	45	7	7	6	7	4	3	
22	15	45	6	6	6	7	4	3	
20	10	45	6	6	5	6	5	3	
22	19	45	6	6	6	7	3	3	
23	24	45	6	5	5	6	4	3	
25	9	44	5	5	5	5	5	5	
16	20	45	7	8	7	8	3	3	
18	15	44	7	7	6	7	4	3	
21	21	46	6	6	6	7	3	3	
25	12	45	5	5	4	5	4	4	
20	15	44	5	5	5	6	4	3	
19	14	45	6	6	6	7	4	3	
17	5	45	6	6	6	6	5	3	
24	12	44	6	5	5	6	4	4	
17	0	45	7	7	7	7	4	3	
17	22	44	7	7	6	7	3	3	
21	11	45	5	5	5	6	5	4	
20	0	45	5	5	5	5	5	4	
24	12	45	6	6	5	6	4	4	
23	20	46	6	6	5	6	4	3	
20	19	44	5	6	5	6	4	4	
23	12	45	6	6	5	6	4	3	
18	14	45	6	6	5	6	4	3	
17	13	44	7	7	6	8	4	3	
19	19	45	6	6	6	7	3	3	
16	11	45	6	6	6	7	4	3	
21	11	46	6	6	5	6	5	4	
22	11	44	6	6	5	6	4	3	
23	20	46	5	5	5	6	5	4	
25	23	44	5	5	5	6	5	4	
20	30	45	7	7	6	7	4	3	
19	8	45	6	6	6	6	5	4	
19	13	45	6	6	6	7	4	3	
27	22	44	5	5	4	5	4	4	
21	23	44	6	6	5	7	4	3	
22	18	44	6	5	5	6	4	3	
23	28	45	5	6	5	6	4	3	
24	18	44	5	5	5	6	4	3	
22	11	44	6	6	6	6	4	3	
22	13	45	6	6	5	6	4	4	
22	23	45	6	6	5	6	4	4	
23	11	46	6	6	6	6	4	3	
23	12	45	5	5	5	6	5	4	
20	12	45	6	6	6	7	4	3	
26	14	46	5	5	5	5	5	4	
19	17	45	6	6	6	6	4	3	
24	16	44	5	5	4	5	4	4	
22	22	44	5	5	5	6	5	4	
20	12	44	6	5	5	6	4	3	
29	25	45	5	5	4	6	4	4	
22	31	44	5	5	5	6	5	3	
26	25	44	5	5	5	6	5	4	
22	6	46	6	6	6	6	3	3	
25	28	45	5	5	4	5	5	4	
24	17	45	5	5	5	6	4	4	
19	5	45	6	6	6	7	4	3	
23	21	45	5	5	5	6	4	3	
21	16	45	5	5	5	6	4	3	
22	11	45	5	5	5	6	4	3	
18	17	45	7	7	6	7	3	3	
17	17	45	6	7	6	7	4	3	
20	13	44	6	5	5	6	4	3	
25	20	44	6	6	5	6	4	3	
20	12	45	8	8	7	8	4	3	
22	11	44	5	5	5	5	5	4	
