CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
26	19	46	19	19	18	21	3	3	
27	15	45	18	18	16	19	4	3	
24	18	45	19	19	18	21	4	2	
25	22	45	18	19	17	20	4	3	
24	7	45	18	19	17	19	4	3	
25	14	46	18	19	17	20	4	3	
24	21	45	19	20	18	21	4	3	
25	23	46	18	20	17	21	4	2	
21	10	46	21	21	20	22	4	3	
27	14	46	19	19	18	20	4	2	
22	16	45	21	21	20	22	4	3	
22	7	46	20	21	19	22	3	3	
26	13	46	19	20	18	21	4	2	
25	27	46	18	19	17	20	4	3	
24	24	45	18	19	17	20	4	3	
30	20	45	16	17	15	18	4	3	
22	11	46	18	19	17	20	5	3	
24	18	45	19	20	18	21	4	2	
26	14	44	19	19	18	20	4	3	
26	23	45	19	20	18	21	4	2	
26	8	45	18	19	17	20	4	3	
26	19	45	20	21	19	22	4	3	
24	20	45	18	19	17	19	5	3	
24	8	45	20	21	19	22	4	3	
27	18	45	20	21	19	22	3	2	
27	23	45	18	19	17	20	4	3	
25	18	46	18	18	17	19	4	3	
23	14	45	18	19	17	19	4	3	
26	10	45	18	19	17	20	4	2	
30	18	44	19	19	17	20	4	3	
23	12	46	19	19	18	20	4	3	
25	8	45	20	20	19	21	4	2	
24	14	46	18	19	17	19	4	3	
26	18	45	20	21	19	22	3	2	
23	21	44	19	19	18	20	4	3	
28	20	44	20	20	18	21	4	3	
31	19	44	17	17	16	19	4	3	
28	18	45	17	18	16	19	4	3	
28	20	46	18	20	18	20	4	3	
25	12	45	19	20	18	20	3	2	
24	13	45	19	20	18	21	4	3	
23	19	46	18	19	18	20	4	3	
23	9	45	21	21	20	22	3	2	
26	15	45	17	18	16	19	5	3	
27	20	45	18	19	17	20	3	2	
28	18	45	18	18	17	19	4	3	
25	10	45	17	18	16	19	5	3	
25	24	44	20	19	18	21	4	3	
26	30	45	17	17	16	19	4	3	
26	18	45	18	18	17	19	4	3	
28	19	44	18	17	16	19	4	3	
28	14	46	16	17	16	18	5	3	
29	25	45	17	18	16	19	5	3	
23	30	46	20	21	19	22	4	3	
22	22	45	19	20	18	21	4	3	
24	16	45	17	18	16	19	4	3	
20	4	46	19	20	19	21	4	2	
23	28	45	18	19	18	20	4	3	
26	20	46	18	19	17	20	4	3	
25	18	45	19	20	18	20	4	3	
23	6	46	19	21	18	21	4	3	
25	18	46	19	20	18	21	4	3	
23	14	46	19	19	18	20	5	3	
24	16	44	19	18	17	20	5	3	
24	15	45	18	18	17	19	4	3	
26	13	45	20	20	19	21	5	3	
25	12	46	18	19	17	20	4	3	
28	19	45	18	18	17	19	4	3	
27	11	45	17	18	17	19	5	3	
25	9	45	18	18	17	19	4	3	
26	15	46	18	20	18	20	4	3	
27	13	45	17	17	16	18	4	3	
27	31	45	19	20	18	21	3	3	
26	16	45	19	19	17	20	5	3	
23	8	45	20	22	20	22	4	2	
30	25	45	18	18	16	19	4	3	
24	12	46	19	20	18	21	4	3	
22	21	46	20	22	19	23	5	3	
21	17	46	20	21	19	22	4	3	
25	13	45	19	19	18	20	4	3	
26	13	45	18	18	17	20	4	3	
26	8	45	18	19	17	20	4	3	
23	21	45	18	18	17	19	4	3	
26	18	45	18	19	17	20	4	3	
21	14	45	20	20	18	21	4	3	
24	22	46	18	19	17	20	4	3	
25	15	45	19	19	18	20	4	3	
23	16	46	18	19	17	20	5	2	
26	16	45	18	19	17	20	5	3	
26	24	46	18	18	17	19	4	3	
19	10	46	20	21	19	21	4	3	
22	22	45	19	20	18	21	4	3	
28	17	44	18	18	16	19	4	3	
30	11	45	17	18	16	19	4	3	
28	17	45	18	19	17	20	4	2	
22	8	46	19	19	18	20	5	3	
27	18	45	18	18	17	19	5	3	
25	5	45	19	19	18	20	4	3	
23	21	45	20	20	19	22	4	3	
20	23	46	19	20	18	21	4	3	
