CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
28	8	46	36	39	35	40	4	3	
27	11	47	38	41	37	42	4	2	
29	14	45	37	39	36	41	4	2	
27	27	45	37	38	35	41	4	2	
27	26	46	37	39	35	41	4	2	
27	14	46	36	39	35	40	4	2	
27	12	45	37	39	35	40	4	2	
29	14	46	36	38	35	39	5	2	
30	17	46	37	39	35	41	4	2	
25	15	46	38	41	37	42	3	2	
28	16	45	39	41	37	43	4	2	
24	15	46	38	39	36	41	4	2	
26	6	46	38	40	36	41	4	2	
28	5	46	35	37	34	38	4	2	
24	16	46	38	41	36	42	4	3	
26	14	47	36	40	35	41	4	3	
30	27	46	37	39	35	41	4	2	
28	7	45	37	38	35	40	4	2	
29	12	45	40	41	37	43	4	2	
27	14	46	39	40	38	42	4	2	
31	19	45	36	37	34	39	4	2	
25	14	46	41	44	39	45	4	2	
28	21	46	37	39	34	41	4	2	
25	2	46	38	41	37	42	4	2	
22	10	46	40	43	39	44	4	2	
26	25	45	36	38	35	40	4	2	
29	13	44	39	39	37	42	4	3	
27	20	45	39	40	37	42	4	2	
25	18	46	39	41	37	43	4	2	
33	15	45	36	37	34	39	4	3	
31	20	45	36	36	34	38	4	2	
30	16	46	36	40	35	41	3	2	
28	11	46	33	35	32	37	4	3	
25	22	46	39	41	37	43	3	2	
26	16	45	38	40	36	42	4	2	
24	16	46	40	42	39	43	5	3	
31	23	46	37	39	35	41	3	2	
27	23	45	37	39	36	40	4	2	
30	24	46	35	38	34	39	4	2	
21	18	45	40	43	38	45	4	2	
30	15	45	38	39	36	41	4	2	
25	7	47	37	41	36	42	5	2	
30	14	44	35	35	32	37	5	3	
29	23	45	37	37	35	39	4	3	
26	18	46	38	40	36	42	4	3	
30	22	46	40	42	38	44	4	2	
26	7	45	41	43	39	44	3	2	
28	7	45	37	38	35	40	4	3	
28	14	46	36	38	35	39	4	3	
29	22	45	38	39	36	41	4	3	
28	18	46	38	40	37	41	4	2	
26	13	46	39	41	37	43	4	2	
29	13	46	37	40	36	41	4	2	
31	24	46	35	37	33	38	5	2	
27	18	45	42	44	40	46	4	2	
26	23	45	37	39	36	41	4	3	
28	20	46	38	40	36	42	4	2	
28	23	46	37	39	36	41	4	2	
25	16	46	41	43	39	45	3	2	
28	13	46	38	40	36	42	4	2	
32	30	45	35	35	32	38	4	2	
28	14	45	39	41	37	43	4	2	
26	27	46	38	40	36	41	4	2	
30	23	46	36	39	35	40	4	2	
29	13	45	35	37	34	38	4	2	
24	21	46	39	41	38	42	3	2	
28	9	45	36	37	34	39	4	3	
29	22	46	39	40	37	42	3	2	
28	17	45	35	37	34	39	4	3	
26	13	46	39	41	37	43	4	2	
29	14	45	38	38	36	40	4	2	
23	0	46	40	43	39	45	4	2	
30	18	46	35	37	33	39	4	2	
27	15	46	38	40	37	41	4	2	
31	16	46	37	40	36	41	4	2	
28	17	46	39	42	38	43	4	2	
29	13	46	38	40	37	41	4	3	
28	20	45	37	38	35	40	4	3	
33	20	46	36	37	34	39	4	3	
29	15	44	37	37	35	39	4	2	
28	25	45	37	38	35	40	4	2	
28	8	46	35	37	34	39	4	2	
27	15	47	36	40	35	41	4	3	
27	16	46	40	43	38	45	4	2	
30	26	45	38	40	36	42	4	3	
29	23	45	36	37	33	39	5	3	
27	13	45	36	39	35	40	4	3	
29	23	46	37	40	36	42	4	2	
28	17	46	37	39	35	40	4	3	
28	10	47	37	40	36	41	4	2	
28	23	45	37	39	35	41	4	3	
31	17	45	34	36	32	38	3	2	
27	27	45	39	40	37	43	4	2	
26	13	45	38	39	36	41	3	2	
26	18	45	37	39	36	41	4	2	
29	13	46	38	39	36	41	4	2	
28	20	45	35	37	34	39	4	2	
24	3	45	40	42	38	43	4	2	
28	14	45	34	36	33	38	4	2	
30	15	45	36	36	33	38	4	2	
