CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
22	26	45	12	13	11	13	5	3	
23	17	44	12	12	11	13	4	3	
27	16	46	11	12	11	13	3	3	
23	13	46	11	12	11	12	4	3	
25	26	44	11	11	10	12	4	3	
23	11	45	13	13	12	13	4	3	
27	14	45	12	13	12	14	4	3	
19	12	46	12	13	12	13	4	3	
24	18	45	12	12	11	13	4	3	
28	20	45	11	12	11	13	3	3	
26	21	44	12	12	11	13	4	3	
23	25	46	12	13	12	14	4	3	
24	17	46	12	13	11	13	4	3	
24	17	44	13	12	12	13	4	3	
22	8	44	12	12	12	13	4	3	
24	14	45	11	11	10	12	5	3	
23	15	45	14	14	13	15	4	2	
22	17	46	11	12	11	12	5	3	
28	30	45	10	10	9	12	4	3	
27	19	45	12	12	11	13	3	3	
26	21	45	12	12	11	13	4	3	
18	14	46	12	13	12	14	4	3	
22	3	46	12	12	11	12	4	3	
24	9	45	12	12	12	13	4	3	
22	20	46	14	14	13	15	3	3	
26	16	45	11	11	10	12	4	3	
24	26	45	12	12	11	13	4	3	
24	20	46	11	12	11	12	5	3	
22	17	46	12	13	12	13	5	3	
26	16	45	11	12	11	13	4	3	
23	13	46	11	12	11	12	5	3	
20	8	46	12	13	12	13	4	3	
24	22	45	13	12	11	14	3	3	
21	16	44	13	14	12	14	3	3	
28	17	44	12	12	11	14	3	3	
28	16	45	11	11	10	12	4	3	
23	12	44	13	13	12	14	4	3	
27	13	44	11	11	10	12	5	3	
22	14	45	12	12	11	13	5	3	
23	9	46	12	13	12	13	4	3	
22	4	46	12	12	11	12	5	3	
23	25	45	14	15	13	16	3	2	
22	12	45	13	13	13	14	4	3	
21	4	46	12	13	12	13	4	3	
21	20	45	13	13	12	14	4	3	
24	15	45	12	12	11	13	3	3	
23	13	45	11	12	11	12	4	3	
23	27	45	12	12	11	14	4	3	
23	17	46	11	11	10	12	5	3	
21	21	45	13	13	12	14	4	3	
21	34	46	12	13	11	14	4	3	
23	6	46	13	13	12	13	4	3	
22	24	46	14	14	13	16	3	3	
20	9	46	12	13	12	13	4	3	
25	20	46	12	13	12	14	4	3	
23	10	46	12	13	11	13	4	3	
23	25	45	12	12	11	13	4	3	
24	9	45	11	12	11	13	4	3	
27	20	44	12	12	11	13	5	3	
25	29	45	11	12	11	12	4	3	
29	16	45	11	12	10	12	4	3	
23	15	45	12	12	12	13	4	3	
22	10	45	12	12	11	13	4	3	
26	14	45	11	11	10	12	4	3	
26	24	45	11	11	10	12	5	3	
26	20	45	11	11	10	12	4	3	
25	18	45	12	13	12	13	4	3	
21	16	45	13	13	12	14	4	3	
26	15	46	11	12	11	13	5	3	
24	22	45	12	13	11	13	5	3	
24	6	46	12	13	12	13	4	3	
27	17	45	11	12	11	12	4	3	
24	25	45	12	13	12	13	4	3	
27	17	45	12	12	11	13	4	3	
24	6	44	11	12	11	12	5	3	
22	13	45	14	14	13	15	4	2	
23	27	46	11	12	11	13	4	3	
31	16	44	13	13	12	13	4	3	
27	18	46	11	11	10	11	4	3	
26	16	45	12	13	12	13	5	3	
26	12	45	12	12	12	13	4	3	
23	23	45	13	13	12	14	3	3	
26	17	46	12	12	11	13	4	3	
21	12	45	12	13	12	13	5	3	
26	23	44	11	12	10	12	4	3	
24	12	45	13	13	12	14	5	3	
24	28	46	12	12	11	13	4	3	
24	16	46	11	12	11	13	4	3	
25	17	45	12	13	11	14	4	3	
25	23	45	12	13	12	14	5	3	
24	16	45	13	13	12	14	5	3	
24	16	46	11	12	11	13	5	3	
22	21	46	12	13	11	13	4	3	
22	24	45	13	13	12	14	4	3	
26	2	46	12	12	11	13	3	3	
24	12	46	13	14	12	14	4	3	
23	20	45	13	13	12	14	4	3	
23	25	45	12	12	11	14	4	3	
26	19	45	11	11	10	12	5	3	
24	21	45	14	14	13	15	3	2	
