CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
29	21	46	24	25	23	26	4	3	
24	24	46	27	27	25	29	4	2	
24	3	45	26	27	25	28	4	3	
31	28	45	23	23	21	25	4	3	
25	8	46	25	27	24	28	4	3	
26	20	46	24	25	23	26	4	2	
26	15	46	24	25	23	26	4	3	
26	22	46	25	26	24	27	4	3	
22	4	46	25	28	25	29	4	2	
25	19	44	24	24	22	26	4	3	
24	26	46	25	27	24	27	4	3	
30	26	45	25	26	24	27	4	3	
28	5	45	23	23	22	25	5	3	
25	20	46	27	28	26	29	4	2	
28	9	46	24	25	23	26	4	3	
26	21	45	25	26	24	27	4	3	
30	22	45	24	25	23	26	3	3	
26	13	44	25	25	24	27	4	3	
25	18	46	26	27	25	28	4	3	
27	8	46	24	26	23	27	4	2	
26	22	45	25	27	24	28	4	2	
27	3	45	23	24	23	25	4	3	
31	23	45	24	25	23	26	4	3	
25	23	45	26	26	24	28	4	3	
23	13	45	23	25	22	26	4	2	
28	20	45	23	24	22	25	4	3	
30	25	44	23	24	22	25	4	3	
31	18	45	24	24	22	26	4	3	
27	25	45	24	26	23	27	5	3	
29	10	46	25	27	24	27	4	3	
26	12	45	25	26	24	27	4	3	
23	13	47	26	28	25	29	4	3	
24	23	45	25	26	24	27	5	3	
24	13	45	25	26	24	27	4	3	
24	25	45	25	27	24	28	4	2	
26	18	46	25	27	24	29	4	3	
24	22	46	27	28	25	29	4	3	
26	16	45	24	26	23	27	4	3	
29	25	46	24	25	23	26	4	3	
28	21	44	25	25	23	27	4	2	
24	16	46	26	28	25	29	4	2	
26	24	45	23	24	21	25	5	3	
29	20	46	26	27	25	28	4	3	
21	12	46	26	28	25	29	4	3	
29	19	45	25	26	23	27	4	3	
30	12	45	23	24	22	25	4	3	
26	13	45	25	26	24	27	4	3	
23	18	46	27	29	27	30	4	2	
28	27	45	23	24	22	25	5	3	
25	16	45	27	27	25	29	4	2	
22	14	46	28	29	27	30	3	2	
29	18	46	24	26	23	27	4	3	
21	28	46	27	28	26	29	4	2	
29	22	46	24	26	23	27	4	3	
28	14	45	27	27	25	29	5	2	
29	18	45	26	26	24	28	4	2	
23	20	45	24	25	23	26	4	3	
23	17	45	26	27	24	28	4	3	
23	22	45	26	27	24	29	4	2	
28	11	45	24	25	23	26	5	2	
25	18	45	26	26	24	28	4	3	
25	15	45	25	26	24	27	4	3	
26	2	46	26	27	24	28	3	2	
24	25	45	26	27	25	29	3	2	
26	13	46	25	27	24	28	4	3	
30	9	45	24	24	23	25	4	3	
24	13	45	24	25	23	26	4	3	
26	15	45	24	24	23	26	5	3	
27	11	45	24	25	23	26	4	2	
25	10	46	24	25	23	26	4	3	
29	23	44	23	24	22	25	4	3	
30	25	46	25	26	23	28	3	2	
25	21	47	25	27	24	28	4	2	
21	23	45	26	27	24	28	4	3	
31	25	45	24	25	23	27	5	3	
28	16	45	23	24	22	25	4	3	
28	14	45	26	26	24	28	4	2	
27	14	46	25	27	24	28	4	2	
28	10	45	24	26	23	27	4	3	
27	22	45	24	25	23	27	4	3	
28	15	45	24	25	23	26	4	3	
29	17	46	25	26	23	27	4	3	
31	25	44	24	24	22	26	4	2	
30	16	44	23	24	22	25	4	3	
32	20	45	24	25	23	26	3	3	
27	19	46	24	25	22	26	4	3	
22	25	45	25	26	24	28	4	3	
23	12	46	25	27	24	27	4	2	
23	14	45	25	25	23	27	5	3	
26	28	45	25	25	24	27	4	2	
31	14	45	23	24	22	25	4	3	
24	8	45	25	26	24	27	4	3	
26	16	46	24	25	23	26	4	2	
28	17	46	23	25	23	26	4	2	
27	22	45	25	26	24	28	4	3	
25	17	46	28	29	27	30	4	2	
28	28	46	25	27	24	28	4	3	
27	30	45	26	26	23	28	4	3	
29	18	45	25	25	23	27	4	3	
25	13	46	25	26	24	27	4	3	
