DAS size with prunung locality 10
76	25	24	20	20	20	20	20	20	20	20	
81	35	33	32	29	27	25	25	25	25	25	
80	31	28	27	27	26	26	26	26	26	26	
83	35	32	31	30	28	28	28	28	28	28	
84	32	31	30	27	26	26	26	26	26	26	
86	28	27	27	27	23	23	23	23	23	23	
80	29	28	28	23	21	19	19	19	19	19	
80	28	23	23	19	18	18	18	18	18	18	
77	31	28	27	26	26	26	26	26	26	26	
78	29	26	26	25	25	25	25	25	25	25	
84	29	26	24	23	23	23	23	23	23	23	
80	29	25	24	23	23	23	23	23	23	23	
80	20	20	20	20	20	20	20	20	20	20	
88	34	31	31	31	29	28	28	28	28	28	
71	23	21	21	21	21	21	21	21	21	21	
80	30	28	24	22	22	22	22	22	22	22	
74	27	26	26	26	23	23	23	23	23	23	
86	31	29	26	24	23	23	23	23	23	23	
79	25	21	21	21	21	21	21	21	21	21	
82	32	29	29	29	28	28	26	26	26	26	
79	25	22	19	19	19	19	19	19	19	19	
83	27	27	27	24	23	23	22	22	22	22	
86	29	26	25	23	21	21	21	21	21	21	
72	27	25	23	23	23	23	23	23	23	23	
83	31	28	27	26	26	26	26	26	26	26	
84	29	26	24	23	23	23	23	23	23	23	
74	28	27	26	26	23	23	23	23	23	23	
75	25	24	23	23	23	23	23	23	23	23	
79	24	22	22	22	22	22	22	22	22	22	
80	32	29	29	27	24	23	22	22	22	22	
86	30	27	26	24	23	23	23	23	23	23	
80	25	20	20	20	20	20	20	20	20	20	
76	26	23	23	23	23	23	23	23	23	23	
80	30	28	26	23	23	22	22	22	22	22	
87	32	31	31	27	25	25	25	25	25	25	
75	26	25	23	20	17	17	17	17	17	17	
82	29	27	25	24	24	24	24	24	24	24	
84	34	30	27	26	24	24	24	24	24	24	
79	29	26	25	21	21	21	21	21	21	21	
87	24	18	18	18	18	18	18	18	18	18	
80	29	28	28	27	24	23	23	23	23	23	
76	35	29	28	25	25	24	24	24	24	24	
76	26	25	25	25	25	25	24	22	22	22	
77	26	25	24	24	24	22	22	22	22	22	
81	33	31	31	29	29	28	28	28	28	28	
84	30	25	21	21	21	21	21	21	21	21	
86	30	29	29	29	29	26	24	24	24	24	
71	23	20	20	20	20	20	20	20	20	20	
83	23	19	19	19	19	19	19	19	19	19	
83	22	22	22	22	20	20	20	20	20	20	
75	29	27	25	24	24	24	24	24	24	24	
83	32	30	27	25	24	24	24	24	24	24	
73	25	23	23	20	20	20	20	20	20	20	
86	30	29	29	27	27	27	27	27	27	27	
86	25	25	24	22	21	21	21	21	21	21	
83	29	29	29	29	25	23	23	23	23	23	
79	33	29	29	26	23	22	22	22	22	22	
79	28	25	22	21	21	21	21	21	21	21	
81	20	20	19	19	19	19	19	19	19	19	
79	27	24	23	22	22	22	22	22	22	22	
82	33	28	25	23	23	23	23	23	23	23	
87	26	22	21	21	21	21	21	21	21	21	
81	28	28	26	26	25	25	25	25	25	25	
70	24	24	23	23	22	22	22	22	22	22	
83	30	26	26	26	25	25	25	25	25	25	
83	23	23	23	22	21	21	21	21	21	21	
85	26	25	25	24	24	22	22	22	22	22	
86	27	23	21	21	21	21	21	21	21	21	
86	31	27	27	24	23	22	21	21	21	21	
84	36	32	30	28	26	23	23	23	23	23	
76	35	35	34	31	29	28	28	28	28	28	
79	33	31	25	25	25	25	25	25	25	25	
81	31	30	29	29	26	25	25	25	25	25	
83	24	22	22	19	19	19	19	19	19	19	
91	27	25	23	23	22	20	20	20	20	20	
79	30	30	28	26	22	22	22	22	22	22	
84	28	24	22	21	21	21	21	21	21	21	
78	30	29	29	29	29	29	29	28	24	24	
79	21	18	18	18	18	18	18	18	18	18	
80	27	23	23	23	23	23	23	23	23	23	
83	23	19	18	18	18	18	18	18	18	18	
82	31	28	28	28	28	23	21	21	21	21	
90	26	25	24	19	17	17	17	17	17	17	
82	28	28	27	27	26	25	24	24	24	24	
89	31	29	28	28	25	24	24	24	24	24	
71	23	19	19	19	19	19	19	19	19	19	
81	31	28	26	25	24	23	23	23	23	23	
85	28	24	23	23	23	23	23	23	23	23	
81	27	24	24	24	22	22	22	22	22	22	
80	26	22	22	21	21	21	21	21	21	21	
85	28	25	24	24	24	24	24	24	24	24	
77	30	29	29	26	25	23	23	23	23	23	
85	32	29	27	26	25	25	25	25	25	25	
83	26	25	25	23	23	23	23	23	23	23	
87	24	21	21	21	21	21	21	21	21	21	
73	29	27	27	27	26	26	26	26	26	26	
80	37	36	35	33	31	31	30	30	30	30	
79	30	27	26	25	25	25	25	25	25	25	
84	29	24	24	22	22	22	22	22	22	22	
77	27	25	23	23	23	21	18	18	18	18	
