CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
20	0	50	46	46	46	46	3	2	
24	0	50	46	46	46	46	3	2	
23	0	50	49	49	49	49	3	2	
23	0	50	48	48	48	48	3	2	
20	0	50	50	50	50	50	3	2	
24	0	50	46	46	46	46	4	2	
21	0	50	48	48	48	48	3	2	
20	0	50	46	46	46	46	3	2	
18	0	50	47	47	47	47	3	2	
22	0	50	46	46	46	46	3	2	
22	0	50	45	45	45	45	3	2	
22	0	50	45	45	45	45	4	2	
22	0	50	45	45	45	45	4	2	
22	0	50	47	47	47	47	3	2	
23	0	50	47	47	47	47	3	2	
23	0	50	46	46	46	46	3	2	
21	0	50	48	48	48	48	3	2	
20	0	50	46	46	46	46	4	2	
18	0	50	50	50	50	50	3	2	
22	0	50	47	47	47	47	4	2	
20	0	50	48	48	48	48	3	2	
25	0	50	45	45	45	45	3	2	
18	0	50	49	49	49	49	3	2	
23	0	50	49	49	49	49	3	2	
20	0	50	49	49	49	49	4	2	
19	0	50	50	50	50	50	4	2	
24	0	50	45	45	45	45	4	2	
21	0	50	47	47	47	47	3	2	
21	0	50	51	51	51	51	3	2	
20	0	50	49	49	49	49	3	2	
22	0	50	45	45	45	45	3	2	
19	0	50	47	47	47	47	4	2	
19	0	50	49	49	49	49	3	2	
25	0	50	43	43	43	43	3	2	
23	0	50	49	49	49	49	3	2	
23	0	50	47	47	47	47	3	2	
20	0	50	50	50	50	50	3	2	
27	0	50	46	46	46	46	3	2	
21	0	50	48	48	48	48	3	2	
20	0	50	48	48	48	48	3	2	
20	0	50	45	45	45	45	3	2	
27	0	50	44	44	44	44	3	2	
22	0	50	46	46	46	46	3	2	
20	0	50	46	46	46	46	4	2	
25	0	50	43	43	43	43	4	2	
25	0	50	44	44	44	44	3	2	
23	0	50	45	45	45	45	4	2	
19	0	50	49	49	49	49	3	2	
24	0	50	45	45	45	45	3	2	
25	0	50	50	50	50	50	3	2	
26	0	50	47	47	47	47	3	2	
21	0	50	46	46	46	46	3	2	
18	0	50	47	47	47	47	4	2	
23	0	50	46	46	46	46	3	2	
24	0	50	44	44	44	44	4	2	
22	0	50	45	45	45	45	3	2	
17	0	50	48	48	48	48	4	2	
23	0	50	48	48	48	48	3	2	
24	0	50	46	46	46	46	3	2	
21	0	50	47	47	47	47	3	2	
21	0	50	47	47	47	47	3	2	
24	0	50	46	46	46	46	3	2	
18	0	50	51	51	51	51	4	2	
22	0	50	46	46	46	46	3	2	
23	0	50	46	46	46	46	3	2	
21	0	50	47	47	47	47	4	2	
20	0	50	47	47	47	47	3	2	
20	0	50	51	51	51	51	3	2	
23	0	50	47	47	47	47	3	2	
22	0	50	46	46	46	46	3	2	
21	0	50	49	49	49	49	3	2	
23	0	50	47	47	47	47	3	2	
22	0	50	43	43	43	43	3	2	
20	0	50	50	50	50	50	3	2	
23	0	50	47	47	47	47	3	2	
21	0	50	49	49	49	49	3	2	
24	0	50	48	48	48	48	3	2	
22	0	50	47	47	47	47	3	2	
23	0	50	45	45	45	45	4	2	
20	0	50	47	47	47	47	4	2	
20	0	50	46	46	46	46	4	2	
24	0	50	43	43	43	43	3	2	
19	0	50	48	48	48	48	4	2	
22	0	50	49	49	49	49	3	2	
22	0	50	47	47	47	47	3	2	
20	0	50	50	50	50	50	3	2	
19	0	50	50	50	50	50	3	2	
22	0	50	46	46	46	46	4	2	
23	0	50	48	48	48	48	3	2	
20	0	50	48	48	48	48	3	2	
25	0	50	43	43	43	43	3	2	
20	0	50	49	49	49	49	4	2	
17	0	50	54	54	54	54	3	2	
19	0	50	48	48	48	48	4	2	
19	0	50	49	49	49	49	3	2	
24	0	50	44	44	44	44	4	2	
21	0	50	48	48	48	48	3	2	
18	0	50	52	52	52	52	3	2	
23	0	50	44	44	44	44	3	2	
18	0	50	50	50	50	50	3	2	
