CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
20	0	50	24	24	24	24	4	2	
19	0	50	24	24	24	24	3	2	
25	0	50	21	21	21	21	3	2	
18	0	50	25	25	25	25	3	2	
19	0	50	23	23	23	23	4	2	
18	0	50	22	22	22	22	4	2	
20	0	50	21	21	21	21	3	2	
22	0	50	21	21	21	21	3	2	
21	0	50	24	24	24	24	3	2	
22	0	50	23	23	23	23	3	2	
18	0	50	23	23	23	23	3	2	
23	0	50	21	21	21	21	4	2	
18	0	50	22	22	22	22	4	2	
21	0	50	23	23	23	23	3	2	
20	0	50	21	21	21	21	4	2	
20	0	50	24	24	24	24	3	2	
22	0	50	23	23	23	23	3	2	
20	0	50	22	22	22	22	4	2	
18	0	50	22	22	22	22	4	2	
21	0	50	22	22	22	22	3	2	
18	0	50	23	23	23	23	3	2	
24	0	50	21	21	21	21	4	2	
19	0	50	24	24	24	24	3	2	
15	0	50	25	25	25	25	4	3	
16	0	50	27	27	27	27	3	2	
21	0	50	22	22	22	22	3	2	
21	0	50	22	22	22	22	4	2	
22	0	50	23	23	23	23	3	2	
22	0	50	24	24	24	24	3	2	
20	0	50	23	23	23	23	3	2	
17	0	50	26	26	26	26	3	2	
23	0	50	22	22	22	22	3	2	
19	0	50	23	23	23	23	3	2	
17	0	50	25	25	25	25	3	2	
16	0	50	27	27	27	27	4	2	
20	0	50	22	22	22	22	4	2	
21	0	50	24	24	24	24	3	2	
17	0	50	24	24	24	24	3	2	
22	0	50	23	23	23	23	3	2	
20	0	50	23	23	23	23	3	2	
18	0	50	24	24	24	24	3	2	
21	0	50	22	22	22	22	3	2	
18	0	50	22	22	22	22	3	2	
22	0	50	21	21	21	21	3	2	
19	0	50	25	25	25	25	3	2	
20	0	50	23	23	23	23	3	2	
17	0	50	24	24	24	24	4	2	
22	0	50	23	23	23	23	3	2	
20	0	50	24	24	24	24	3	2	
18	0	50	24	24	24	24	3	2	
21	0	50	23	23	23	23	3	2	
20	0	50	23	23	23	23	3	2	
21	0	50	23	23	23	23	3	2	
22	0	50	23	23	23	23	3	2	
23	0	50	22	22	22	22	3	2	
23	0	50	21	21	21	21	4	2	
18	0	50	27	27	27	27	3	2	
20	0	50	22	22	22	22	3	2	
17	0	50	23	23	23	23	4	2	
20	0	50	21	21	21	21	3	3	
18	0	50	25	25	25	25	4	2	
19	0	50	22	22	22	22	4	2	
20	0	50	23	23	23	23	4	2	
23	0	50	21	21	21	21	3	2	
21	0	50	24	24	24	24	3	2	
22	0	50	23	23	23	23	3	2	
21	0	50	23	23	23	23	3	2	
20	0	50	24	24	24	24	3	2	
20	0	50	24	24	24	24	3	2	
19	0	50	26	26	26	26	4	2	
17	0	50	25	25	25	25	4	2	
21	0	50	25	25	25	25	3	2	
20	0	50	23	23	23	23	4	2	
18	0	50	24	24	24	24	4	2	
19	0	50	26	26	26	26	3	2	
19	0	50	24	24	24	24	3	2	
19	0	50	23	23	23	23	3	2	
19	0	50	26	26	26	26	3	2	
19	0	50	22	22	22	22	4	2	
18	0	50	25	25	25	25	3	2	
19	0	50	24	24	24	24	3	2	
22	0	50	21	21	21	21	3	2	
21	0	50	23	23	23	23	3	2	
21	0	50	22	22	22	22	4	2	
18	0	50	22	22	22	22	4	2	
23	0	50	22	22	22	22	3	2	
20	0	50	21	21	21	21	3	3	
25	0	50	22	22	22	22	3	2	
14	0	50	27	27	27	27	3	2	
18	0	50	24	24	24	24	3	2	
23	0	50	22	22	22	22	3	2	
18	0	50	25	25	25	25	3	2	
20	0	50	22	22	22	22	4	2	
20	0	50	23	23	23	23	4	2	
21	0	50	22	22	22	22	3	2	
18	0	50	23	23	23	23	4	2	
24	0	50	22	22	22	22	3	2	
19	0	50	23	23	23	23	4	2	
21	0	50	21	21	21	21	4	2	
15	0	50	26	26	26	26	3	2	
