CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
16	0	50	7	7	7	7	3	2	
15	0	50	7	7	7	7	4	3	
14	0	50	8	8	8	8	3	3	
17	0	50	7	7	7	7	5	3	
15	0	50	8	8	8	8	3	2	
19	0	50	6	6	6	6	4	3	
20	0	50	7	7	7	7	3	2	
16	0	50	7	7	7	7	3	3	
12	0	50	9	9	9	9	3	2	
17	0	50	7	7	7	7	3	3	
16	0	50	8	8	8	8	3	3	
16	0	50	6	6	6	6	3	3	
19	0	50	7	7	7	7	3	3	
15	0	50	8	8	8	8	4	3	
16	0	50	7	7	7	7	5	3	
17	0	50	7	7	7	7	3	3	
13	0	50	9	9	9	9	3	2	
14	0	50	8	8	8	8	3	2	
17	0	50	6	6	6	6	4	3	
18	0	50	6	6	6	6	4	3	
18	0	50	7	7	7	7	3	3	
15	0	50	7	7	7	7	3	3	
19	0	50	8	8	8	8	3	2	
16	0	50	7	7	7	7	3	3	
12	0	50	8	8	8	8	4	2	
17	0	50	7	7	7	7	3	3	
15	0	50	7	7	7	7	4	3	
20	0	50	7	7	7	7	3	3	
16	0	50	7	7	7	7	3	3	
16	0	50	8	8	8	8	3	3	
16	0	50	7	7	7	7	4	3	
18	0	50	8	8	8	8	3	3	
17	0	50	6	6	6	6	4	3	
19	0	50	6	6	6	6	4	3	
18	0	50	7	7	7	7	3	3	
14	0	50	7	7	7	7	4	3	
16	0	50	7	7	7	7	4	4	
15	0	50	8	8	8	8	3	2	
19	0	50	7	7	7	7	3	3	
17	0	50	7	7	7	7	4	3	
19	0	50	7	7	7	7	3	3	
18	0	50	6	6	6	6	4	3	
15	0	50	8	8	8	8	3	2	
19	0	50	7	7	7	7	3	3	
15	0	50	7	7	7	7	4	3	
15	0	50	7	7	7	7	4	3	
18	0	50	7	7	7	7	3	3	
17	0	50	7	7	7	7	3	3	
16	0	50	8	8	8	8	4	3	
16	0	50	6	6	6	6	3	3	
17	0	50	8	8	8	8	3	2	
15	0	50	8	8	8	8	3	2	
16	0	50	8	8	8	8	3	2	
20	0	50	6	6	6	6	4	3	
18	0	50	6	6	6	6	4	3	
17	0	50	8	8	8	8	3	2	
17	0	50	7	7	7	7	3	3	
19	0	50	6	6	6	6	4	3	
16	0	50	7	7	7	7	4	3	
15	0	50	9	9	9	9	3	2	
19	0	50	7	7	7	7	3	2	
18	0	50	7	7	7	7	4	3	
13	0	50	9	9	9	9	3	2	
18	0	50	7	7	7	7	3	2	
19	0	50	7	7	7	7	3	3	
18	0	50	7	7	7	7	3	3	
14	0	50	8	8	8	8	4	3	
18	0	50	7	7	7	7	3	2	
15	0	50	7	7	7	7	5	3	
18	0	50	7	7	7	7	3	2	
20	0	50	7	7	7	7	3	2	
18	0	50	7	7	7	7	4	3	
16	0	50	9	9	9	9	3	2	
12	0	50	8	8	8	8	3	3	
19	0	50	6	6	6	6	3	2	
15	0	50	7	7	7	7	3	2	
18	0	50	6	6	6	6	3	3	
15	0	50	7	7	7	7	4	3	
14	0	50	8	8	8	8	3	3	
16	0	50	8	8	8	8	4	2	
14	0	50	7	7	7	7	4	3	
16	0	50	7	7	7	7	4	4	
19	0	50	8	8	8	8	3	3	
17	0	50	7	7	7	7	4	3	
18	0	50	7	7	7	7	4	4	
17	0	50	8	8	8	8	3	2	
13	0	50	8	8	8	8	3	3	
16	0	50	8	8	8	8	3	3	
19	0	50	7	7	7	7	3	3	
17	0	50	7	7	7	7	3	2	
19	0	50	7	7	7	7	3	3	
21	0	50	7	7	7	7	4	2	
15	0	50	9	9	9	9	3	2	
17	0	50	8	8	8	8	4	3	
18	0	50	7	7	7	7	4	3	
13	0	50	7	7	7	7	4	3	
18	0	50	8	8	8	8	3	3	
18	0	50	7	7	7	7	3	3	
17	0	50	6	6	6	6	4	3	
13	0	50	9	9	9	9	3	2	
