CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
20	0	50	15	15	15	15	3	2	
19	0	50	16	16	16	16	3	2	
21	0	50	14	14	14	14	3	3	
20	0	50	13	13	13	13	5	3	
19	0	50	14	14	14	14	4	2	
19	0	50	14	14	14	14	4	2	
19	0	50	15	15	15	15	3	2	
19	0	50	15	15	15	15	3	2	
20	0	50	14	14	14	14	3	2	
19	0	50	15	15	15	15	3	3	
15	0	50	16	16	16	16	4	3	
18	0	50	16	16	16	16	3	2	
20	0	50	14	14	14	14	4	2	
22	0	50	13	13	13	13	4	3	
20	0	50	14	14	14	14	3	2	
20	0	50	16	16	16	16	4	2	
17	0	50	16	16	16	16	3	3	
18	0	50	16	16	16	16	3	2	
21	0	50	13	13	13	13	3	3	
19	0	50	15	15	15	15	3	2	
17	0	50	16	16	16	16	4	2	
17	0	50	15	15	15	15	4	3	
17	0	50	16	16	16	16	4	3	
19	0	50	16	16	16	16	3	2	
15	0	50	17	17	17	17	3	2	
19	0	50	15	15	15	15	3	3	
21	0	50	14	14	14	14	3	2	
18	0	50	16	16	16	16	4	2	
17	0	50	17	17	17	17	4	2	
19	0	50	16	16	16	16	3	2	
22	0	50	14	14	14	14	4	2	
14	0	50	15	15	15	15	4	3	
20	0	50	15	15	15	15	4	2	
18	0	50	15	15	15	15	3	2	
18	0	50	15	15	15	15	3	2	
16	0	50	16	16	16	16	4	2	
23	0	50	15	15	15	15	3	3	
16	0	50	16	16	16	16	3	2	
21	0	50	14	14	14	14	3	2	
18	0	50	15	15	15	15	3	3	
20	0	50	15	15	15	15	4	2	
21	0	50	15	15	15	15	3	2	
19	0	50	15	15	15	15	4	2	
18	0	50	14	14	14	14	4	3	
17	0	50	15	15	15	15	4	3	
19	0	50	15	15	15	15	4	2	
18	0	50	15	15	15	15	3	2	
21	0	50	14	14	14	14	3	2	
17	0	50	17	17	17	17	3	2	
18	0	50	15	15	15	15	3	2	
19	0	50	15	15	15	15	3	3	
19	0	50	15	15	15	15	3	2	
18	0	50	14	14	14	14	3	3	
18	0	50	15	15	15	15	4	3	
17	0	50	16	16	16	16	3	2	
15	0	50	16	16	16	16	3	2	
19	0	50	15	15	15	15	4	2	
18	0	50	14	14	14	14	5	2	
18	0	50	16	16	16	16	3	2	
17	0	50	16	16	16	16	3	2	
19	0	50	15	15	15	15	3	2	
19	0	50	16	16	16	16	3	2	
16	0	50	16	16	16	16	3	3	
21	0	50	14	14	14	14	4	2	
20	0	50	15	15	15	15	3	2	
19	0	50	15	15	15	15	3	2	
18	0	50	15	15	15	15	4	3	
19	0	50	14	14	14	14	5	2	
18	0	50	16	16	16	16	3	2	
17	0	50	18	18	18	18	3	2	
22	0	50	15	15	15	15	3	2	
14	0	50	16	16	16	16	4	2	
18	0	50	16	16	16	16	4	3	
27	0	50	12	12	12	12	4	3	
22	0	50	14	14	14	14	3	2	
21	0	50	14	14	14	14	4	2	
20	0	50	14	14	14	14	4	3	
18	0	50	15	15	15	15	3	2	
18	0	50	16	16	16	16	3	2	
20	0	50	15	15	15	15	3	2	
21	0	50	13	13	13	13	4	2	
20	0	50	14	14	14	14	3	2	
16	0	50	16	16	16	16	4	2	
16	0	50	15	15	15	15	4	2	
19	0	50	15	15	15	15	3	2	
19	0	50	15	15	15	15	3	2	
19	0	50	15	15	15	15	4	2	
15	0	50	16	16	16	16	3	2	
21	0	50	14	14	14	14	4	2	
17	0	50	16	16	16	16	3	2	
20	0	50	15	15	15	15	3	2	
22	0	50	14	14	14	14	4	3	
18	0	50	14	14	14	14	4	2	
20	0	50	16	16	16	16	4	2	
19	0	50	16	16	16	16	3	2	
19	0	50	16	16	16	16	3	2	
20	0	50	15	15	15	15	3	2	
18	0	50	17	17	17	17	3	2	
19	0	50	16	16	16	16	3	2	
16	0	50	15	15	15	15	3	3	
