CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
35	42	41	24	27	21	30	4	3	
33	30	40	27	27	23	31	4	3	
35	40	42	25	28	22	31	4	3	
34	43	41	25	27	21	31	4	3	
33	32	42	23	26	21	28	5	3	
34	37	41	25	27	22	30	5	3	
32	26	42	24	28	22	30	5	3	
32	40	41	25	27	22	30	5	3	
30	16	41	25	27	22	30	5	3	
35	34	41	25	27	22	30	4	3	
36	35	42	24	27	21	29	5	3	
32	28	41	25	28	22	31	5	3	
34	26	41	24	26	21	29	5	3	
38	40	41	23	26	21	29	5	3	
35	42	42	24	25	20	29	4	3	
35	31	42	25	29	23	31	4	3	
35	36	40	25	26	21	29	6	3	
37	40	41	23	25	20	28	6	3	
36	37	41	25	28	22	31	4	3	
38	32	42	23	26	20	28	4	3	
38	41	42	25	27	22	30	5	3	
33	26	42	24	27	22	29	5	3	
36	38	41	23	25	20	28	5	3	
34	36	41	25	27	22	30	4	3	
38	33	41	23	26	20	29	4	3	
38	38	40	24	25	21	29	5	3	
35	40	40	25	26	21	29	4	3	
33	23	43	23	26	21	28	5	3	
29	32	43	25	29	23	31	5	3	
37	36	42	24	28	22	30	4	3	
28	21	42	23	27	21	29	4	3	
36	34	41	24	27	21	30	5	3	
28	33	42	25	29	22	31	5	3	
35	33	41	25	27	22	30	4	3	
35	33	41	24	26	22	29	5	3	
30	36	43	24	28	22	31	5	3	
36	39	41	24	26	21	29	4	3	
36	40	41	24	25	20	28	5	3	
36	26	42	23	27	21	29	4	3	
37	35	41	23	25	20	28	5	3	
34	36	40	24	25	20	28	5	3	
33	37	42	23	27	21	29	4	3	
34	27	41	27	28	24	31	4	3	
34	41	41	25	27	22	31	5	3	
33	25	41	25	27	22	29	5	3	
39	45	40	23	25	20	29	4	3	
34	35	40	24	25	20	28	5	3	
29	33	42	26	30	23	32	4	3	
34	25	41	25	26	21	30	5	3	
40	40	40	23	25	20	28	4	3	
35	34	42	25	27	22	30	4	3	
38	37	41	24	26	21	29	5	3	
35	32	41	23	27	21	29	5	3	
36	39	40	24	25	21	29	5	3	
36	40	41	26	28	23	32	4	3	
29	51	42	27	29	24	33	5	3	
29	45	43	26	29	22	32	4	3	
32	43	42	27	29	23	33	4	3	
35	40	42	24	27	21	30	4	3	
39	29	41	24	26	22	29	5	3	
28	40	42	25	29	22	32	5	3	
39	46	40	23	24	19	29	4	3	
35	29	41	23	26	21	28	5	3	
33	32	40	27	26	22	31	4	3	
32	28	41	24	27	22	30	5	3	
34	40	41	23	26	20	30	5	3	
32	33	42	25	27	23	30	4	3	
38	32	41	24	26	21	29	5	3	
33	34	40	25	26	22	30	5	3	
34	37	41	25	27	22	30	4	3	
36	38	40	23	26	20	29	4	3	
35	41	41	25	27	22	30	4	3	
30	36	43	25	29	23	31	4	3	
33	31	42	25	29	23	31	4	3	
33	36	41	24	26	21	29	6	3	
42	39	40	23	23	19	27	5	3	
39	30	41	23	25	20	28	5	3	
33	29	41	24	27	21	29	4	3	
32	33	41	25	27	22	30	5	3	
37	38	41	24	26	20	29	4	3	
31	25	43	25	29	23	31	5	3	
37	38	40	24	25	21	28	4	3	
32	38	42	27	29	24	32	4	3	
36	37	41	23	24	19	27	4	3	
38	35	41	23	25	20	28	4	3	
31	35	42	25	27	22	30	5	3	
32	35	42	24	27	21	30	4	3	
30	27	42	25	28	22	31	4	3	
29	27	43	27	31	24	33	4	3	
39	37	41	24	27	21	30	4	3	
30	34	42	26	29	23	32	4	3	
38	36	40	22	24	19	27	5	3	
34	36	41	24	26	21	29	5	3	
30	35	41	24	27	21	30	5	3	
35	31	42	25	28	22	31	4	3	
36	34	40	23	25	19	28	5	3	
36	43	41	26	27	22	30	4	3	
36	27	41	23	26	21	28	4	3	
36	34	40	24	26	21	30	4	3	
34	35	40	24	25	21	29	5	3	
