CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
30	35	41	14	16	13	17	4	3	
33	47	39	16	15	13	18	4	3	
35	35	40	14	15	12	17	5	3	
31	29	41	14	16	13	17	5	3	
36	30	40	13	14	11	16	5	3	
37	41	40	14	15	12	17	5	3	
39	31	40	14	14	12	16	6	3	
30	23	41	14	15	12	16	5	3	
27	25	43	15	17	14	18	5	3	
31	30	43	15	17	13	18	4	3	
30	26	42	15	17	13	19	5	3	
36	32	40	14	16	12	17	5	3	
33	29	41	14	15	12	17	5	3	
36	33	40	14	15	12	17	4	3	
35	28	40	13	14	11	16	4	3	
35	43	41	13	14	11	16	5	3	
33	32	40	15	16	13	18	4	3	
27	26	41	13	14	12	16	4	3	
35	31	41	14	15	12	17	5	3	
31	26	42	14	16	13	17	4	3	
40	31	39	14	14	12	16	5	3	
38	29	40	14	16	13	17	4	3	
36	37	42	15	17	13	19	4	3	
37	21	41	13	15	12	16	4	3	
31	32	40	14	15	13	17	5	3	
38	36	41	13	14	12	16	5	3	
35	31	41	14	16	12	17	5	3	
30	39	41	14	15	12	17	5	3	
34	40	42	13	15	11	17	5	3	
40	40	40	13	14	11	16	5	3	
31	34	41	14	15	12	17	4	3	
38	45	40	14	15	12	17	5	3	
32	28	41	14	16	13	17	5	3	
29	29	43	15	17	13	18	4	3	
35	36	41	13	15	12	16	5	3	
34	34	40	15	15	13	18	4	3	
32	34	41	14	15	12	16	5	3	
32	39	41	15	16	13	18	4	3	
32	32	43	15	17	13	18	5	3	
35	45	40	13	14	11	16	5	3	
29	27	41	14	16	13	18	5	3	
30	33	41	14	16	12	17	5	3	
36	29	41	14	16	13	18	4	3	
33	38	41	13	15	12	17	4	3	
35	40	39	14	14	12	17	5	3	
33	32	40	15	16	13	18	4	3	
32	33	41	15	17	14	18	4	3	
38	20	41	14	15	12	16	4	3	
33	33	42	14	16	12	17	4	3	
35	36	41	14	16	12	17	5	3	
34	29	41	15	16	13	18	4	3	
31	33	42	14	16	13	18	5	3	
31	26	40	16	17	14	18	4	3	
32	26	42	15	16	13	18	4	3	
30	24	43	13	16	12	17	4	3	
37	44	41	15	15	12	18	4	3	
36	39	41	14	15	11	17	5	3	
30	38	41	16	16	14	19	4	3	
32	42	41	15	15	12	18	5	3	
32	30	41	15	16	13	18	4	3	
29	26	42	15	16	13	17	5	3	
32	39	41	13	15	12	17	5	3	
33	32	41	14	15	12	17	4	3	
34	35	40	15	16	13	17	4	3	
33	28	41	14	16	13	17	5	3	
36	38	41	13	15	11	17	5	3	
31	22	42	15	17	13	18	5	3	
32	42	40	14	15	12	17	4	3	
32	33	42	14	15	12	17	5	3	
34	43	41	14	15	12	17	5	3	
34	25	41	14	15	12	17	5	3	
34	33	41	14	15	13	17	5	3	
32	28	42	15	17	13	18	5	3	
32	33	42	14	15	13	17	4	3	
36	36	40	14	15	12	17	4	3	
29	32	41	16	17	14	19	5	3	
35	31	40	14	14	12	16	4	3	
29	37	41	15	17	13	19	4	3	
29	32	42	15	17	13	19	4	3	
30	31	40	16	17	14	19	4	3	
30	26	40	14	15	13	17	5	3	
31	36	43	15	18	13	19	4	3	
30	26	41	15	17	13	19	4	3	
31	40	41	15	16	13	18	5	3	
38	34	40	14	14	12	16	5	3	
35	31	39	14	14	12	16	6	3	
32	38	42	14	15	12	17	4	3	
33	35	40	14	15	12	17	4	3	
32	25	42	14	15	13	16	4	3	
34	31	41	15	17	13	18	5	3	
31	21	41	17	17	15	19	4	3	
31	37	42	15	17	13	19	4	3	
34	38	41	15	16	13	18	4	3	
37	36	39	14	14	12	16	5	3	
32	41	41	15	16	13	19	4	3	
31	35	40	15	15	12	17	5	3	
34	35	40	14	15	12	16	5	3	
31	45	41	15	16	13	18	4	3	
32	40	40	15	16	13	18	6	3	
34	42	41	14	15	12	17	4	3	
