CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
33	43	41	32	35	28	38	4	3	
37	30	41	28	30	24	34	5	3	
34	36	42	30	35	27	38	4	3	
33	52	41	31	31	26	37	5	3	
34	32	42	29	34	27	36	4	3	
36	30	42	28	33	26	35	4	3	
36	38	41	33	35	28	39	4	3	
36	42	41	29	32	25	36	4	3	
34	35	41	30	33	27	36	4	3	
37	32	42	27	31	25	33	4	3	
33	33	43	30	34	28	37	5	3	
35	40	40	31	33	26	38	4	3	
33	35	41	29	32	26	34	6	3	
36	37	41	30	32	26	36	4	3	
36	33	41	28	30	24	34	5	3	
34	30	41	30	34	27	37	4	3	
34	34	42	31	34	27	37	4	3	
32	30	42	31	35	28	38	4	3	
35	34	43	30	34	27	37	4	3	
37	36	40	30	31	26	35	4	3	
33	30	42	29	34	26	36	4	3	
37	33	42	28	32	25	35	4	3	
35	30	41	30	34	27	37	4	3	
38	38	41	29	31	25	35	5	3	
37	41	40	29	30	25	35	5	3	
35	38	41	29	32	26	35	5	3	
34	32	43	29	34	26	37	5	3	
35	40	41	30	33	26	37	4	3	
42	37	41	29	31	25	35	4	3	
32	37	42	30	34	27	37	4	3	
31	35	42	32	37	30	40	5	3	
37	31	39	31	31	26	36	4	3	
32	33	42	30	35	28	38	4	3	
34	30	41	30	34	27	37	5	3	
36	37	42	31	33	27	38	4	3	
33	28	41	30	33	27	36	4	3	
32	41	40	30	32	26	36	5	3	
39	33	41	30	33	27	36	4	3	
37	36	42	29	33	26	36	4	3	
35	35	41	28	32	25	35	5	3	
35	40	42	28	31	24	34	4	3	
37	23	42	28	32	26	34	4	3	
32	40	43	30	35	27	38	4	3	
33	27	42	28	33	26	35	4	3	
33	38	41	29	32	25	35	5	3	
32	26	42	30	34	27	37	4	3	
33	26	42	31	35	28	37	4	3	
33	30	42	32	37	29	40	4	3	
34	37	41	31	34	27	37	4	3	
35	34	43	31	34	27	37	4	3	
32	43	42	33	37	29	41	4	3	
37	24	41	30	34	27	36	5	3	
34	31	41	31	34	27	38	4	3	
38	50	40	29	31	24	35	5	3	
36	42	40	29	30	25	34	6	3	
34	37	42	28	32	25	35	5	3	
36	46	41	31	33	27	37	5	3	
35	40	40	32	34	28	38	4	3	
37	38	41	29	30	25	34	4	3	
35	46	41	28	30	24	34	5	3	
40	33	41	28	32	24	35	5	3	
36	31	42	30	35	27	37	4	3	
33	30	42	28	34	26	36	5	3	
29	23	41	31	33	27	37	4	3	
37	28	42	31	34	28	37	4	3	
37	42	40	30	32	26	36	4	3	
32	32	44	31	38	28	40	4	3	
34	37	40	30	33	26	37	4	3	
36	31	43	29	35	27	37	4	3	
43	36	40	27	29	24	33	4	3	
32	36	41	30	33	26	36	5	3	
35	35	41	28	30	24	34	5	3	
34	42	41	30	34	27	37	4	3	
35	43	41	30	32	25	36	4	3	
35	40	41	28	30	24	34	5	3	
37	35	42	30	34	26	37	4	3	
33	34	42	31	35	28	38	4	3	
35	34	42	28	33	25	36	4	3	
35	25	41	29	31	26	34	4	3	
38	38	40	30	33	26	37	4	3	
39	25	41	29	31	26	34	4	3	
38	38	40	27	30	24	33	4	3	
38	38	42	29	33	26	36	5	3	
37	38	41	27	31	24	34	5	3	
33	38	42	31	34	28	38	5	3	
38	41	41	31	33	27	37	4	3	
37	38	41	29	31	25	34	4	3	
40	35	41	28	31	25	35	5	3	
36	34	42	31	35	28	38	4	3	
34	33	42	30	34	27	37	4	3	
32	38	41	31	34	27	39	4	3	
36	27	42	30	33	27	36	4	3	
40	34	40	28	29	24	33	5	3	
32	29	40	31	32	27	36	4	3	
34	34	42	31	35	28	38	4	3	
33	28	41	32	34	28	38	5	3	
34	33	41	29	32	26	36	4	3	
35	26	42	30	34	27	37	5	3	
35	36	41	30	32	26	37	5	3	
35	41	42	30	33	27	37	4	3	
