CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
32	32	42	19	22	17	24	5	3	
33	38	41	20	21	17	23	5	3	
30	35	41	19	22	16	24	5	3	
32	41	41	20	22	17	25	4	3	
33	35	41	21	22	18	24	4	3	
34	29	41	20	22	18	24	4	3	
32	32	40	19	22	17	24	4	3	
33	29	41	21	23	19	26	4	3	
36	26	40	19	20	16	22	5	3	
34	30	39	19	20	16	23	4	3	
35	23	42	19	21	17	23	5	3	
36	39	41	20	21	17	24	4	3	
31	39	41	21	23	18	25	4	3	
32	25	41	22	22	19	25	4	3	
31	33	41	20	21	17	24	5	3	
37	29	41	18	20	16	23	4	3	
32	33	42	20	22	17	24	5	3	
38	32	40	18	19	16	21	4	3	
38	27	43	19	22	17	24	4	3	
35	33	41	20	21	17	24	4	3	
34	35	43	19	22	17	24	4	3	
30	37	42	21	23	19	25	4	3	
32	32	42	20	22	18	24	4	3	
34	28	43	18	22	17	23	5	3	
36	40	40	21	21	17	24	5	3	
31	35	41	20	21	17	23	5	3	
33	23	41	19	22	17	24	4	3	
34	44	40	20	21	17	24	4	3	
35	40	41	19	21	17	23	5	3	
31	36	41	18	20	16	22	5	3	
34	31	43	20	23	18	25	5	3	
31	38	41	20	21	17	23	5	3	
37	38	41	18	20	16	22	5	3	
34	33	41	21	22	18	24	5	3	
34	33	41	20	22	18	24	5	3	
30	29	42	20	22	18	24	4	3	
33	33	40	19	19	16	22	5	3	
32	35	42	19	21	17	24	4	3	
33	38	41	20	21	17	23	4	3	
29	28	42	19	22	17	24	4	3	
34	37	40	18	20	16	22	4	3	
35	35	42	18	19	16	21	4	3	
31	32	43	21	23	19	25	4	3	
33	39	41	20	21	17	24	5	3	
33	42	41	21	23	18	26	4	3	
36	35	40	18	19	16	21	5	3	
31	37	41	20	21	17	24	4	3	
33	26	41	18	20	16	22	5	3	
37	37	42	19	21	17	23	5	3	
34	33	41	18	20	16	22	5	3	
31	37	41	20	21	17	24	5	3	
33	23	42	21	23	19	25	5	3	
34	29	41	20	22	18	24	4	3	
29	25	42	20	23	19	25	4	3	
33	38	41	18	20	16	23	5	3	
30	34	41	21	22	18	25	4	3	
37	37	40	19	20	17	23	4	3	
31	44	41	21	22	18	25	4	3	
33	33	41	20	21	18	24	4	3	
31	43	42	19	20	16	23	4	3	
33	41	41	20	22	18	25	5	3	
35	33	40	20	21	17	24	4	3	
29	32	44	22	25	20	27	4	3	
31	34	41	19	20	16	23	5	3	
33	32	41	20	23	18	25	4	3	
38	30	40	19	20	16	23	5	3	
33	25	40	19	20	17	22	4	3	
34	37	41	18	20	16	22	4	3	
35	37	41	17	20	15	22	5	3	
33	36	42	19	21	16	23	5	3	
33	37	41	21	22	18	25	4	3	
34	30	40	18	20	16	22	5	3	
29	35	42	20	23	19	25	4	3	
31	32	42	20	23	18	25	5	3	
29	28	41	21	22	18	25	4	3	
35	33	41	19	20	16	23	6	3	
31	33	41	20	21	17	25	5	3	
34	38	41	21	22	18	25	5	3	
33	32	41	21	22	18	24	4	3	
31	30	43	20	23	18	24	4	3	
33	40	41	19	21	17	23	4	3	
33	28	43	20	23	18	25	4	3	
31	32	42	19	22	17	24	5	3	
30	23	43	21	25	20	27	4	3	
32	31	42	20	22	18	25	5	3	
35	27	41	18	21	16	23	4	3	
35	39	42	19	21	17	23	6	3	
31	35	42	19	21	17	23	4	3	
36	40	41	18	20	16	22	5	3	
34	36	40	20	21	17	24	4	3	
37	37	41	20	22	18	24	5	3	
32	35	40	21	22	18	25	4	3	
30	26	40	20	21	17	23	5	3	
32	30	42	20	23	18	25	4	3	
31	40	41	20	22	18	24	5	3	
37	40	40	19	20	16	22	4	3	
31	25	41	20	22	18	24	4	3	
31	31	42	21	23	19	25	4	3	
33	32	42	19	22	17	24	4	3	
34	35	42	19	21	17	23	5	3	
