CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
32	32	40	9	9	7	11	5	3	
34	34	40	9	9	8	11	5	3	
35	36	40	8	9	7	10	5	4	
32	37	40	9	9	7	11	4	4	
33	25	40	9	9	7	10	5	3	
35	19	41	9	10	8	11	5	4	
33	30	41	8	9	7	10	5	3	
28	36	41	9	10	8	11	5	3	
29	29	41	10	11	9	12	4	3	
33	31	42	10	11	9	12	4	3	
31	25	41	9	10	9	11	5	3	
32	25	40	10	10	9	11	5	3	
29	26	41	10	10	9	11	5	3	
30	35	41	9	10	8	11	4	3	
32	34	41	9	10	8	11	5	3	
32	35	42	10	10	9	12	4	3	
29	29	42	10	11	9	13	4	3	
32	34	40	10	10	8	12	5	3	
34	37	41	9	10	8	12	5	3	
28	31	41	8	9	7	10	5	3	
28	39	41	9	10	8	11	4	3	
32	40	40	9	10	8	12	5	3	
31	21	40	9	10	8	11	4	3	
27	39	42	11	11	9	12	4	3	
31	32	41	9	10	8	11	4	3	
29	28	42	9	10	8	11	5	3	
29	34	42	10	11	9	12	5	3	
26	35	41	10	11	9	12	4	3	
36	25	40	9	10	8	11	5	3	
32	38	40	9	9	7	11	5	3	
30	34	42	10	11	8	12	4	3	
31	25	41	9	10	8	11	5	3	
28	43	42	9	10	8	12	5	3	
28	26	41	11	12	9	13	4	3	
31	39	40	9	10	7	11	5	3	
33	29	41	9	10	8	11	4	3	
33	39	40	10	10	8	12	4	3	
33	41	40	9	9	8	11	5	3	
31	32	41	9	9	8	11	5	3	
34	32	41	9	10	8	11	5	3	
26	33	43	11	12	9	13	4	3	
34	26	42	9	10	8	12	4	3	
30	36	41	9	10	8	12	4	3	
32	26	41	10	11	9	12	4	3	
30	32	42	9	10	8	11	4	3	
33	20	41	9	10	9	11	4	3	
34	27	41	8	10	7	11	5	3	
30	38	41	10	10	8	12	5	3	
33	30	40	9	10	8	11	5	3	
31	26	41	9	10	8	11	5	3	
32	41	41	9	10	8	11	5	3	
28	35	41	11	12	9	13	3	3	
31	33	42	9	10	8	11	4	3	
35	36	40	9	10	8	12	4	3	
30	28	41	10	11	9	12	5	3	
29	38	41	9	10	8	12	5	3	
35	41	41	9	9	7	11	4	3	
30	35	39	10	10	8	12	4	3	
34	30	39	9	9	7	10	6	4	
39	46	39	8	9	7	10	5	4	
31	35	40	10	10	8	12	5	3	
32	30	41	9	10	8	11	6	3	
29	34	41	10	11	9	12	5	3	
29	42	41	10	11	8	12	5	3	
31	34	41	9	10	8	11	5	3	
34	34	39	9	10	8	11	5	4	
26	15	42	10	11	10	12	5	3	
35	27	39	9	9	8	10	5	4	
32	30	40	9	10	8	12	5	3	
30	38	40	9	11	8	12	4	3	
25	20	40	9	10	8	11	4	3	
31	32	41	10	10	8	12	5	3	
31	26	41	9	10	8	11	4	4	
27	39	41	9	11	8	12	5	3	
28	32	42	9	10	8	12	4	3	
31	38	40	10	11	9	12	4	3	
29	34	40	11	10	9	12	4	3	
36	36	40	10	10	8	12	4	3	
31	28	40	11	11	9	12	5	3	
33	33	39	9	9	7	10	4	3	
31	25	41	10	10	8	11	4	3	
29	28	40	9	10	8	11	5	3	
31	31	40	10	10	9	11	4	3	
32	32	41	9	10	8	11	4	3	
29	31	39	10	10	8	11	5	3	
30	33	42	10	11	9	12	4	3	
34	31	39	9	9	8	10	5	3	
35	25	40	9	9	8	10	4	3	
33	23	39	10	10	9	12	5	3	
33	33	40	9	9	8	11	5	3	
35	31	40	9	10	8	11	5	3	
34	29	41	9	9	7	10	5	3	
30	26	41	9	9	8	10	7	3	
29	28	43	10	12	9	12	4	3	
28	23	41	10	11	9	12	4	3	
32	37	42	9	10	8	11	5	3	
36	31	39	9	9	7	10	5	3	
33	27	42	9	10	8	11	5	3	
32	34	41	9	10	8	11	5	3	
31	38	40	10	10	8	12	5	3	
