CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
22	22	40	6	6	5	7	4	3	
25	35	43	5	6	5	7	4	4	
26	45	39	5	5	3	6	6	4	
23	29	41	5	5	4	6	4	4	
25	30	43	6	7	5	7	3	3	
27	26	41	5	5	5	6	5	4	
27	34	40	5	5	4	6	4	3	
27	29	40	4	4	4	5	6	4	
25	32	40	5	6	5	7	4	3	
26	27	40	5	5	4	6	5	5	
27	36	40	5	4	3	6	5	4	
27	35	40	5	5	4	6	4	3	
22	32	39	6	6	5	7	5	5	
27	40	41	4	5	4	5	5	4	
32	36	40	4	5	4	5	4	4	
27	46	40	4	4	3	5	5	4	
23	24	42	4	5	4	5	4	4	
25	17	40	5	5	4	5	4	3	
27	18	41	5	6	5	6	4	4	
25	34	39	6	6	5	7	4	4	
23	38	42	5	5	4	6	5	4	
23	33	41	5	5	4	6	4	3	
30	42	41	5	5	4	7	4	4	
28	29	40	4	4	3	5	6	5	
29	40	40	4	4	3	5	4	4	
27	37	40	5	5	4	6	5	4	
24	29	40	5	5	4	6	5	4	
25	26	40	5	5	4	6	4	4	
26	35	41	4	5	4	5	5	3	
30	23	42	4	4	4	5	5	5	
27	34	39	4	4	3	5	5	5	
22	38	42	5	5	4	6	4	4	
30	33	40	4	4	3	5	6	4	
23	30	41	5	5	4	6	5	4	
27	32	41	4	5	4	5	6	4	
29	33	40	4	4	3	5	4	4	
24	20	42	5	5	4	6	4	3	
27	26	39	5	5	4	5	4	4	
26	35	39	4	5	4	5	5	5	
24	19	42	5	5	5	6	4	4	
29	27	39	4	4	4	5	5	4	
25	31	42	4	4	3	5	6	5	
25	28	40	5	5	4	6	5	4	
29	27	40	4	4	3	5	5	5	
24	18	41	5	5	5	6	4	3	
30	32	41	4	4	3	5	4	4	
29	37	39	5	5	4	6	5	4	
25	28	41	5	5	4	6	4	4	
24	32	40	6	6	5	7	4	4	
27	30	42	4	5	4	6	4	4	
21	32	41	5	5	4	6	5	5	
28	34	40	5	5	4	6	4	4	
25	39	40	5	4	3	5	5	4	
26	30	40	5	5	5	6	4	4	
32	33	39	5	5	4	6	4	4	
24	27	39	5	5	4	6	4	3	
29	41	39	4	5	3	5	5	4	
23	36	43	5	5	4	6	5	4	
31	38	40	4	5	4	5	4	4	
27	36	39	5	5	4	6	5	4	
26	46	39	4	5	3	6	5	4	
26	32	40	4	5	4	5	6	5	
23	37	40	5	6	4	6	4	3	
30	31	40	5	5	4	6	4	3	
28	36	40	5	5	4	6	4	4	
25	37	40	5	5	4	6	5	5	
25	34	41	5	6	4	6	5	3	
21	15	42	4	5	4	6	5	4	
28	43	41	4	4	3	5	5	4	
27	40	40	5	5	4	6	5	4	
31	36	41	4	4	3	5	5	5	
30	29	40	5	5	4	6	5	5	
25	25	40	4	4	4	5	6	4	
23	26	41	5	5	4	6	4	3	
24	24	41	5	6	5	6	4	3	
24	38	42	6	6	5	7	3	3	
26	31	41	5	5	4	6	5	4	
23	21	38	5	5	4	5	5	5	
27	26	40	4	4	4	5	5	4	
24	26	41	5	5	4	5	6	5	
27	40	39	4	5	4	6	4	3	
22	17	43	5	5	5	6	4	4	
32	33	40	4	4	3	5	5	5	
23	26	41	5	5	4	6	4	3	
28	30	40	4	5	4	5	5	4	
24	31	40	4	4	4	5	5	4	
24	32	42	5	5	4	6	5	4	
26	25	41	5	5	4	6	5	3	
27	31	40	4	5	4	5	5	4	
23	23	41	5	5	4	6	5	4	
25	31	40	4	4	4	5	6	4	
24	21	40	5	5	4	5	5	5	
29	36	41	4	4	3	5	6	4	
32	32	40	4	4	3	5	6	5	
26	29	40	6	6	5	7	4	4	
24	16	41	5	5	4	5	5	4	
27	28	40	4	5	4	6	4	4	
26	25	41	5	5	4	6	5	4	
28	32	40	4	5	4	5	5	4	
25	25	39	5	5	4	5	5	5	
