CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
25	39	39	5	5	4	6	5	4	
33	41	38	4	4	3	5	5	4	
36	38	36	4	4	3	5	5	5	
37	45	35	3	3	2	4	6	5	
34	51	36	3	3	2	5	5	5	
32	38	39	4	4	3	5	6	5	
27	37	40	4	5	4	6	6	5	
27	46	36	5	5	3	6	4	3	
29	32	38	4	4	3	5	5	4	
32	47	37	3	4	2	5	6	5	
31	48	37	4	4	3	5	5	5	
29	31	38	4	4	3	5	5	4	
28	33	37	4	4	3	5	6	6	
36	41	36	3	3	2	4	6	5	
28	35	38	4	5	3	5	6	6	
29	30	37	4	4	3	5	5	4	
32	44	37	3	4	2	5	7	6	
31	48	37	4	4	3	5	5	4	
29	30	38	5	5	4	6	4	3	
37	46	36	4	4	2	5	6	6	
27	47	37	4	5	3	6	5	4	
28	31	38	4	4	3	5	5	5	
27	52	37	4	5	3	6	5	4	
28	34	39	4	5	3	5	6	4	
31	46	38	4	4	3	5	5	5	
30	37	37	4	5	3	6	4	4	
29	40	36	4	4	3	5	5	4	
28	36	37	4	4	3	5	5	5	
29	34	37	4	4	3	5	5	5	
28	41	37	4	4	3	5	5	4	
28	37	38	4	4	3	5	5	4	
24	36	38	5	5	4	6	5	4	
30	41	36	4	5	3	6	5	5	
28	39	36	4	4	3	5	5	4	
32	47	36	4	4	3	5	5	5	
24	41	37	5	6	4	7	5	4	
29	40	36	4	4	3	5	6	5	
30	36	38	4	4	3	5	5	4	
29	37	37	4	4	3	5	5	4	
28	47	39	5	5	3	6	4	3	
32	41	36	4	4	3	5	6	5	
30	42	37	4	4	3	6	5	4	
29	37	37	4	4	3	5	6	5	
28	34	38	4	5	3	5	6	6	
33	37	35	3	3	2	4	6	6	
28	53	36	5	5	3	7	4	3	
33	40	36	4	4	3	5	6	6	
28	36	39	4	4	3	5	5	4	
24	47	38	5	5	4	6	5	4	
32	50	36	4	5	3	6	5	4	
31	44	37	4	4	3	5	6	5	
34	47	37	4	4	3	5	5	4	
30	37	38	4	4	3	5	6	5	
37	34	35	3	3	3	4	5	5	
27	34	39	4	4	3	5	6	4	
30	42	35	4	4	3	5	6	5	
33	42	37	4	4	3	5	5	4	
28	40	37	4	4	3	5	5	4	
27	44	37	4	5	3	6	5	5	
30	43	36	4	4	3	5	6	6	
36	50	35	4	4	2	5	5	4	
28	37	36	4	4	3	5	5	4	
30	36	37	3	4	3	4	5	5	
27	41	36	4	4	3	5	6	4	
33	38	38	4	4	3	5	5	5	
28	40	36	4	4	3	5	5	4	
29	41	39	5	5	4	6	4	4	
29	43	39	4	5	3	6	5	4	
27	39	39	4	4	3	5	6	4	
33	52	35	4	4	2	5	5	4	
32	45	35	3	4	2	4	6	6	
34	46	36	4	4	2	5	5	5	
33	55	36	4	4	2	5	5	4	
27	51	38	5	5	3	6	4	4	
24	42	37	5	5	3	6	4	4	
29	48	35	4	4	3	5	5	4	
30	55	36	4	4	3	6	4	4	
34	41	34	3	4	3	4	7	6	
26	40	37	5	5	4	6	5	4	
28	35	39	4	5	4	5	4	4	
28	36	39	5	5	4	6	5	3	
32	51	37	4	4	3	5	6	5	
24	40	38	5	5	4	6	4	4	
32	39	37	4	4	3	5	6	6	
34	42	36	4	4	3	5	6	4	
26	38	38	4	5	3	5	5	4	
33	48	35	4	4	3	5	4	4	
28	38	36	4	5	3	6	5	4	
28	30	37	5	5	4	6	5	5	
33	41	37	4	4	3	5	5	4	
30	46	36	4	4	3	5	5	5	
29	40	39	4	4	3	5	5	5	
31	42	38	4	4	3	5	6	4	
28	40	39	4	5	4	5	5	4	
27	42	36	5	5	4	6	4	4	
32	43	35	4	4	3	5	6	6	
33	48	36	3	3	2	4	6	5	
32	45	36	4	4	3	5	4	4	
31	41	36	4	4	3	5	5	4	
32	42	37	4	4	3	6	6	4	
