CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
46	52	35	19	22	14	26	5	3	
45	50	33	20	20	14	25	4	3	
48	55	35	20	20	15	26	5	3	
49	50	35	20	21	15	27	4	3	
49	57	35	21	21	15	27	4	3	
45	45	35	20	20	15	26	6	3	
48	52	35	19	21	14	26	4	3	
49	47	37	19	23	15	27	4	3	
50	51	36	20	22	16	27	4	3	
49	51	36	21	23	16	28	4	3	
50	58	35	20	20	14	25	5	3	
51	54	35	19	20	14	26	5	3	
47	49	35	21	22	16	27	4	3	
44	49	37	21	24	17	28	4	3	
50	52	36	20	22	15	27	4	3	
49	45	36	19	21	15	26	4	3	
45	50	34	23	23	16	29	4	3	
51	52	35	19	20	14	25	5	3	
44	50	37	22	24	17	29	5	3	
42	45	36	21	23	16	28	5	3	
49	53	35	18	19	13	24	6	3	
49	52	35	20	21	15	26	5	3	
46	44	36	20	23	16	27	4	3	
59	54	34	19	20	14	25	4	3	
51	55	36	21	21	15	27	4	3	
48	55	35	19	21	14	26	4	3	
48	52	35	20	22	15	27	4	3	
45	54	36	20	22	15	27	5	3	
51	47	36	18	21	14	25	4	3	
41	45	38	21	23	16	28	5	3	
45	54	36	20	21	15	26	4	3	
46	52	35	19	21	14	26	5	3	
51	53	35	21	22	15	27	4	3	
48	56	36	20	24	15	29	4	3	
46	51	36	19	21	14	27	4	3	
46	47	37	20	23	16	27	6	3	
44	44	36	20	21	16	26	5	3	
53	50	35	21	21	15	27	4	3	
44	46	38	20	24	16	28	4	3	
51	53	36	19	22	15	27	5	3	
49	49	35	19	20	14	25	5	3	
50	53	35	20	21	15	26	5	3	
50	47	35	18	20	14	24	5	3	
56	53	34	18	18	13	23	5	3	
53	50	35	20	21	15	27	4	3	
56	55	35	20	20	14	25	4	3	
43	57	35	21	21	15	27	5	3	
50	47	36	19	21	15	26	4	3	
50	52	36	22	23	16	28	4	3	
55	50	35	19	20	14	25	4	3	
49	53	36	19	22	14	26	5	3	
44	54	35	20	21	15	26	5	3	
49	56	35	18	19	14	24	5	3	
51	51	34	19	19	13	25	5	3	
50	45	36	18	20	14	24	6	3	
45	54	36	20	21	15	27	5	3	
52	53	35	20	21	14	27	4	3	
47	50	36	19	21	14	25	5	3	
46	48	36	18	21	14	24	5	3	
45	50	38	20	23	15	28	5	3	
50	52	35	21	21	15	27	4	3	
49	46	36	20	22	15	27	4	3	
46	55	36	20	22	15	27	4	3	
43	41	38	20	24	16	28	4	3	
49	46	36	19	21	15	25	5	3	
48	52	35	21	21	15	27	5	3	
44	49	37	19	22	15	27	4	3	
46	50	36	20	22	15	27	5	3	
50	54	35	20	22	15	27	5	3	
44	47	36	21	22	16	27	5	3	
50	52	36	22	23	17	29	4	3	
52	56	34	21	20	15	27	4	3	
43	50	37	20	24	16	27	5	3	
52	53	37	20	22	15	27	4	3	
49	49	36	20	22	15	27	5	3	
42	51	37	20	23	15	27	5	3	
44	42	38	20	23	16	27	5	3	
49	50	36	21	23	16	28	4	3	
46	52	36	21	22	15	27	4	3	
48	51	35	19	21	14	25	5	3	
48	51	36	20	21	15	26	4	3	
52	54	34	19	19	14	25	5	3	
46	54	34	20	20	15	25	5	3	
40	46	36	20	21	16	26	6	3	
46	48	36	20	21	15	27	5	3	
47	52	35	21	21	15	27	4	3	
48	50	36	19	22	14	27	4	3	
49	47	36	21	21	15	27	5	3	
46	51	35	21	21	15	27	5	3	
49	54	35	19	22	14	26	4	3	
52	43	34	18	19	14	24	5	3	
46	50	37	19	22	15	26	5	3	
55	52	33	20	20	14	26	4	3	
41	44	38	21	24	17	28	5	3	
50	57	36	21	22	15	28	4	3	
51	56	35	19	20	14	25	5	3	
51	52	35	20	21	15	26	5	3	
46	57	34	20	19	13	26	5	3	
49	52	34	20	20	15	25	5	3	
48	50	37	18	22	14	26	5	3	
