CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
42	50	37	13	15	10	18	5	3	
47	47	36	11	13	9	15	4	3	
48	56	35	12	12	8	16	5	3	
39	54	37	12	14	9	17	5	3	
38	46	38	11	13	9	15	5	3	
48	40	37	12	13	9	15	5	3	
42	52	36	12	14	9	16	5	3	
42	48	36	11	13	8	16	4	3	
42	43	36	13	12	9	16	5	3	
44	52	34	12	13	9	16	4	3	
44	42	37	11	13	9	15	5	3	
48	50	36	12	13	9	16	4	3	
44	46	36	12	13	9	16	5	3	
49	47	36	11	12	8	15	4	3	
47	45	35	10	11	8	14	5	4	
44	48	36	12	14	9	17	4	3	
42	45	36	12	13	9	16	5	3	
40	45	36	12	13	9	16	5	4	
38	50	37	12	13	9	16	5	3	
47	49	35	11	12	8	15	4	3	
48	51	34	12	12	8	15	5	3	
45	50	34	12	12	8	16	6	4	
41	48	38	11	13	8	15	5	3	
46	45	37	10	12	8	14	5	3	
48	47	36	10	12	8	15	6	3	
44	50	35	12	13	8	16	4	3	
45	49	38	13	15	10	18	4	3	
42	48	35	12	12	9	15	6	3	
44	53	35	11	12	8	15	5	3	
44	50	36	12	13	9	16	5	3	
40	50	37	13	14	10	17	4	3	
46	50	35	12	12	9	15	5	3	
48	52	34	11	11	8	14	5	3	
44	42	36	11	12	8	14	7	4	
44	46	36	12	12	9	15	5	3	
50	49	34	12	11	8	15	5	3	
40	42	38	13	14	10	17	5	3	
48	51	36	12	12	9	16	4	3	
48	50	35	12	13	9	16	5	3	
41	47	35	14	13	10	17	5	3	
42	48	35	11	11	8	14	5	3	
43	50	36	12	12	9	16	5	3	
49	47	35	12	12	9	16	4	3	
50	55	35	10	11	7	14	5	4	
46	45	34	10	11	7	13	6	3	
39	48	38	12	14	9	16	5	3	
54	53	34	11	11	7	14	4	3	
45	41	34	11	11	8	14	5	3	
46	51	35	11	12	8	14	5	3	
42	47	37	12	12	9	16	6	3	
40	40	36	12	14	10	16	5	3	
38	40	38	12	14	10	16	5	3	
46	47	37	11	13	9	15	4	3	
37	43	36	12	13	9	15	5	4	
46	47	36	13	14	10	17	4	3	
58	49	34	11	11	7	14	5	3	
49	47	35	11	12	8	15	5	3	
47	42	37	12	13	9	16	5	3	
40	40	37	11	13	9	15	5	4	
46	44	36	12	13	9	16	4	3	
40	38	37	11	12	8	15	5	3	
43	48	36	11	12	8	15	5	3	
36	43	38	14	14	11	17	4	3	
52	49	34	11	10	7	14	5	3	
45	47	35	12	12	9	15	5	3	
43	43	35	12	12	9	15	5	3	
48	42	35	11	12	8	14	5	3	
42	45	35	12	12	8	15	5	3	
47	49	36	11	12	9	15	5	3	
45	42	35	11	11	9	14	5	4	
40	44	36	11	12	9	15	5	3	
45	45	36	11	13	8	15	4	3	
50	47	36	10	12	8	14	4	4	
41	45	36	13	13	10	16	4	3	
38	46	36	13	13	9	16	5	3	
45	46	36	12	13	9	16	4	3	
49	51	35	11	11	8	14	5	3	
43	47	36	11	13	9	15	6	3	
45	50	35	10	12	8	14	5	4	
50	44	34	10	11	7	13	6	4	
43	50	35	12	12	8	15	5	3	
45	47	35	11	11	8	14	5	3	
43	43	36	13	14	10	17	5	3	
39	45	36	13	14	9	17	4	3	
47	48	36	11	12	9	15	5	3	
40	45	38	12	13	10	16	6	3	
39	40	35	13	14	10	17	4	3	
45	39	35	13	13	9	16	5	3	
41	49	35	12	12	9	16	5	3	
43	50	35	12	13	9	16	4	3	
41	43	35	12	11	8	15	5	3	
43	46	37	12	13	9	16	5	3	
43	44	35	11	12	9	14	5	3	
43	44	36	11	13	9	15	4	3	
48	41	35	12	12	9	15	5	3	
39	48	36	13	14	10	16	4	3	
43	57	34	12	12	8	16	6	4	
45	54	34	12	13	9	16	5	3	
42	45	35	13	13	10	16	5	3	
41	48	39	12	13	9	16	5	3	
