CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
45	46	36	8	8	6	10	5	3	
37	45	34	8	8	6	11	6	4	
39	41	38	9	9	7	11	4	3	
46	47	36	6	7	5	8	5	4	
38	55	35	8	8	5	11	5	4	
29	41	39	9	11	7	13	4	4	
43	48	35	7	8	5	9	5	4	
40	46	36	7	8	5	9	6	3	
39	45	36	8	8	6	10	5	4	
37	58	36	6	8	5	9	5	4	
44	47	36	7	7	5	9	5	4	
39	40	37	8	8	6	10	4	3	
42	51	36	7	8	5	10	5	4	
38	47	33	9	9	6	11	4	4	
42	48	35	8	8	6	10	4	4	
37	46	36	7	8	6	10	5	4	
38	38	36	8	8	6	10	5	4	
39	53	35	7	7	5	9	5	4	
42	49	36	7	8	5	9	5	4	
40	41	36	7	8	6	10	5	4	
39	35	37	7	8	5	9	6	4	
38	36	38	8	9	7	11	5	3	
40	41	37	7	8	6	10	5	3	
39	47	35	8	8	6	10	5	4	
44	41	37	8	8	6	10	5	4	
39	41	37	8	9	7	11	4	3	
40	50	35	8	8	6	10	5	3	
42	41	36	7	7	5	9	6	4	
47	50	37	7	8	5	10	4	4	
34	42	37	7	8	6	9	6	4	
41	42	36	7	7	5	9	5	4	
39	48	36	7	8	6	10	5	4	
40	47	37	8	9	6	11	4	3	
42	50	36	8	8	6	11	4	3	
39	39	38	7	8	6	10	4	3	
39	45	36	8	9	6	11	5	3	
42	48	36	7	8	5	10	6	4	
40	40	35	7	8	5	9	5	4	
39	50	35	8	8	6	10	5	4	
42	37	38	7	8	6	10	5	4	
40	50	34	8	8	5	10	5	3	
45	43	34	7	7	5	9	5	4	
44	46	36	7	7	5	9	5	4	
40	48	35	8	8	5	10	5	3	
40	52	37	8	9	6	11	4	3	
44	49	33	6	7	4	9	5	4	
36	51	36	8	8	6	10	6	4	
48	50	34	7	7	5	9	4	4	
37	42	36	7	8	6	10	6	4	
45	56	34	7	7	5	9	6	4	
40	46	38	8	8	6	11	5	4	
43	50	35	7	8	5	10	5	4	
41	37	36	8	8	6	10	5	4	
46	53	34	7	7	5	10	6	4	
33	33	37	7	9	6	10	6	4	
40	38	36	8	8	6	10	5	3	
46	53	33	7	7	5	9	6	4	
43	46	36	7	7	5	9	5	3	
46	46	33	7	7	5	9	5	4	
44	44	35	8	8	6	10	7	4	
39	45	34	8	8	6	10	5	4	
43	50	34	7	8	5	9	5	4	
38	44	36	8	8	6	10	5	4	
41	40	35	7	7	5	9	5	4	
38	49	36	8	9	6	11	4	3	
38	31	37	8	8	6	10	5	3	
39	48	35	7	8	5	9	5	4	
43	50	35	7	8	5	9	6	4	
44	43	37	8	8	6	10	5	4	
35	39	38	8	9	6	10	5	3	
45	47	36	8	9	6	11	5	4	
43	45	34	7	8	5	9	6	5	
32	44	37	8	9	6	11	4	3	
37	46	35	7	8	6	10	6	4	
46	49	34	7	7	5	9	5	4	
39	49	36	9	9	7	11	5	3	
45	42	36	7	7	5	9	6	4	
43	45	34	8	8	6	10	5	4	
36	44	37	9	10	7	12	4	3	
41	45	35	7	8	5	10	5	4	
36	44	38	7	8	6	9	5	4	
32	37	39	7	9	6	10	5	4	
39	44	36	8	8	6	10	5	4	
39	55	34	8	8	6	11	6	3	
39	45	34	7	7	5	9	5	4	
42	41	37	8	8	6	10	6	4	
40	51	35	8	8	6	10	6	4	
43	52	34	7	7	5	9	5	4	
39	48	36	8	8	5	10	5	3	
40	41	36	8	8	6	10	6	3	
44	46	36	7	8	5	10	5	4	
34	39	37	8	9	6	11	5	3	
48	51	33	6	7	4	8	5	4	
43	39	36	7	7	5	9	5	4	
35	40	38	9	9	7	11	5	4	
42	52	36	7	8	5	10	5	4	
39	44	36	8	8	6	10	5	4	
34	46	37	9	9	7	11	6	3	
42	44	35	9	9	6	11	6	4	
41	43	35	8	8	6	10	5	4	
